,document_name,sentence,potential_measurements
190,S1387700313001822-661.txt,"To deliberate the chirality of the supramolecular architecture, solid state circular dichroism spectra were measured in a KCl matrix for GMP ligand and the single-crystals of complex 1 (Fig. 3(b)).","[['ORG', 21, 22], ['ORG', 32, 33], ['CARDINAL', 34, 35]]"
191,S1387700313001822-661.txt,"In solid-state, mutarotation is more difficult and the negative band at the 260 nm nearby can be detected which indicates that the GMP ligand is mainly β-anomers.","[['CARDINAL', 88, 89], ['ORG', 98, 99]]"
192,S1387700313001822-661.txt,"In the spectrum of complex 1, the weak negative band at 215–225 nm indicates that the GMP exists as l-ribo [5], which is induced by the strong π–π and hydrogen bonding interaction.","[['CARDINAL', 111, 112], ['CARDINAL', 118, 119]]"
193,S1387700313001822-661.txt,"For solid samples, CD spectroscopy is highly sensitive to even a very small distortion from planarity of the aromatic chromophore [12].","[['CARDINAL', 169, 170]]"
194,S1387700313001822-661.txt,"The strong negative CE centered at 297 nm (θ ≈ − 10 mdeg) is due to the excitation coupling of π → π* transitions of the aromatic chromophores, including the intra- and intermolecular coupling of the guanine chromophores [13], which is consistent with the single crystal structure.","[['ORG', 175, 176], ['CARDINAL', 178, 179], ['CARDINAL', 215, 216]]"
195,S2213671113001306-885.txt,"Claudin 19, ezrin, ZO1, and MCT1 are preferentially located on the apical side.","[['CARDINAL', 31, 32], ['PERSON', 35, 36]]"
196,S2213671113001306-885.txt,The scale bars represent 10 μm.,"[['CARDINAL', 57, 58]]"
197,S0925443913003037-1397.txt,We observed an approximately 54% reduction in the level of mt-tRNAPhe when compared with normal controls (Fig. 3D).,"[['PERCENT', 68, 70], ['PERSON', 84, 85], ['ORG', 86, 87]]"
198,S0167610513002729-1062.txt,"At x=0.64 H (about two-third of the way into the street, Fig.","[['CARDINAL', 4, 8], ['PERSON', 15, 16]]"
199,S0019103512004009-3976.txt,"As ηnet ranges from 0.1 to 1 (with the average solar flux), the velocity at the upper boundary increases from 2.6 km s−1 to 25 km s−1.","[['CARDINAL', 19, 20], ['QUANTITY', 38, 40], ['QUANTITY', 42, 44]]"
200,S0019103512004009-3976.txt,"However, the velocity does not increase linearly with stellar flux or without a bound – in the 100× case the velocity at the upper boundary is only 30 km s−1.","[['CARDINAL', 64, 65]]"
201,S0019103512004009-3976.txt,With ηnet = 0.1 the isothermal sonic point is located above the upper boundary whereas with ηnet = 1 it is located at 4Rp.,"[['CARDINAL', 106, 107], ['CARDINAL', 121, 122], ['CARDINAL', 126, 127]]"
202,S0019103512004009-3976.txt,This behavior is related to the temperature gradient and it is discussed further in Section 3.1.3.,"[['EVENT', 142, 144]]"
203,S0022459611006116-1448.txt,SQUID magnetometry measurements revealed that both samples 1 and 2 exhibit weak temperature independent paramagnetic behaviour (typically χM∼5×10−4 emu mol−1) between 5 and 300 K.,"[['CARDINAL', 7, 8], ['CARDINAL', 9, 10]]"
204,S0022459611006116-1448.txt,"[15,16].",[]
205,S0022459611006116-1448.txt,(A plot of χM vs. T for 1 and 2 is available as Supplementary information.),"[['ORG', 74, 75], ['CARDINAL', 78, 79], ['PERSON', 84, 85]]"
206,S0378383911001669-2260.txt,The magnitudes of the friction factors for the two beaches are very similar over the majority of the swash cycle.,"[['CARDINAL', 8, 9]]"
207,S0378383911001669-2260.txt,"(For reference, friction factors calculated assuming steady and uniform flow and evaluated from the measured depths and velocities, with equivalent roughness of 1.3 mm and 8.4 mm, are consistently higher for the rougher beach by approximately 50%.)","[['QUANTITY', 63, 65], ['QUANTITY', 66, 68], ['PERCENT', 77, 80]]"
208,S0378383911001669-2260.txt,"At x = 0.072 m the boundary layer has developed to only a limited extent, so the friction factors for the two beaches are very close.","[['CARDINAL', 149, 150], ['CARDINAL', 168, 169]]"
209,S0378383911001669-2260.txt,"Further up the slope, beyond x = 2.377 m, the friction factors are higher for the coarser 8.4 mm beach.","[['CARDINAL', 182, 183], ['QUANTITY', 193, 195]]"
210,S0378383911001669-2260.txt,"Somewhat later, cf values for the 8.4 mm beach catch up on the values for the 1.3 mm beach and then become higher than the 1.3 mm beach values, but only for locations higher up the beach.","[['QUANTITY', 280, 282], ['QUANTITY', 299, 301]]"
211,S0378383911001669-2260.txt,At the two lowest locations on the beach cf values are surprisingly similar during the backwash.,"[['CARDINAL', 315, 316]]"
212,S0032063312003054-2501.txt,"Out of the total 689 events of electron precipitation signatures, 85 were observed with a concurrent acceleration of heavy-ions.","[['CARDINAL', 4, 5], ['CARDINAL', 11, 12]]"
213,S0032063312003054-2501.txt,This accounts for 12% of precipitation signatures occurring on ∼5% of MEX orbits.,"[['PERCENT', 26, 28], ['ORG', 36, 37]]"
214,S0032063312003054-2501.txt,Only 37 events of electron precipitation signatures were observed with a peripheral acceleration of heavy-ions.,"[['CARDINAL', 39, 41]]"
215,S0032063312003054-2501.txt,This makes the peripheral acceleration of heavy-ions less common occurring on just 5% of precipitation signatures and on ∼2% of MEX orbits.,"[['PERCENT', 70, 73], ['PERCENT', 78, 80], ['ORG', 81, 82]]"
216,S0032386113005454-2308.txt,A tensile modulus of 3.19 ± 0.10 GPa was measured for the unmodified epoxy polymer.,"[['CARDINAL', 4, 5]]"
217,S0032386113005454-2308.txt,"The modulus decreased approximately linearly with increasing CSR content to 1.96 ± 0.08 GPa when 20 wt% of S-CSR particles were added, see Table 1.","[['ORG', 23, 24], ['CARDINAL', 26, 27], ['CARDINAL', 31, 32], ['LAW', 42, 44]]"
218,S0032386113005454-2308.txt,[30] using the same formulation of epoxy polymer but with different CSR particles.,"[['CARDINAL', 55, 56], ['ORG', 67, 68]]"
219,S0378383913001567-2462.txt,Power spectra of surface elevation for a JONSWAP spectrum with fp = 0.5 Hz and Hp = 1.8 cm: comparison of the numerical results (solid line) with experimental data (dashed line).,"[['ORG', 7, 8], ['CARDINAL', 12, 13], ['QUANTITY', 17, 19]]"
220,S0165587612003680-998.txt,"Differences between adults and children were explored on a per-patient (rather than per-ear) basis; where data existed for two ears, the per-patient analysis was carried out using the criteria of at least one ear being culture/confocal positive and at least one ear containing biofilms.","[['CARDINAL', 25, 26], ['CARDINAL', 40, 43], ['CARDINAL', 50, 53]]"
221,S0165587612003680-998.txt,"Children appeared to have a greater number of culture-positive, confocal-positive, and biofilm results than adults (54.3% vs. 14.3%, 82.9% vs. 57.1%, and 67.9% vs. 0%, respectively).","[['PERCENT', 79, 81], ['PERCENT', 82, 84], ['PERCENT', 85, 87], ['PERCENT', 88, 90], ['PERCENT', 92, 94], ['PERCENT', 95, 97]]"
222,S0165587612003680-998.txt,"However, only the presence of biofilms reached statistical significance (Fisher's exact test p = 0.02).","[['ORG', 112, 113], ['CARDINAL', 118, 119]]"
223,S027737911400050X-2401.txt,"For late Quaternary records, most tephra horizons in sediment cores are dated by (linear) interpolation of 14C dates of carbonates, bulk sediment or organic remains.","[['PERSON', 2, 3]]"
224,S027737911400050X-2401.txt,"Both phenomena can result in anomalous 14C ages and an offset from the real age of the dated material, which is not necessarily constant through time in the sediment section (Geyh et al., 1998;","[['DATE', 103, 104]]"
225,S027737911400050X-2401.txt,"Yu et al., 2007).","[['DATE', 110, 111]]"
226,S027737911400050X-2401.txt,"This offset from the real age can be of the order of several hundred or even more than a thousand years if bulk sediment or carbonates are dated, and can thus lead to misleading or erroneous age models if it is not taken into account (Geyh et al., 1998; Bertrand et al., 2012).","[['CARDINAL', 125, 127], ['DATE', 129, 134], ['DATE', 165, 166], ['GPE', 167, 168], ['DATE', 172, 173]]"
227,S027737911400050X-2401.txt,"Appropriate tephra characterisation can potentially also help in evaluating the reservoir effect in a sediment section by providing a tie-point in the age model, provided the age of the tephra is well known from one or more independent sources (e.g., 14C dating on charcoal incorporated in terrestrial deposits, for example the well-constrained 3.00–3.05 ka cal BP Alpehué Pumice (So-A) eruption from Sollipulli; Supplementary Table 1; Naranjo et al., 1993b).","[['CARDINAL', 238, 239], ['CARDINAL', 261, 262], ['WORK_OF_ART', 276, 279]]"
228,S2213671113000908-810.txt,"Our group has developed a defined culture system to direct the differentiation of hPSCs into a near-homogenous population of definitive endoderm (DE) cells that have the capacity to differentiate into hepatocytes and pancreatic progenitors (Brown et al., 2011; Cho et al., 2012; Rashid et al., 2010; Touboul et al., 2010; Vallier et al., 2009a; Yusa et al., 2011).","[['ORG', 24, 25], ['PERSON', 39, 40], ['DATE', 44, 45], ['PERSON', 46, 47], ['DATE', 51, 52], ['DATE', 58, 59], ['GPE', 60, 61], ['DATE', 65, 66], ['PERSON', 67, 68], ['DATE', 72, 73], ['PERSON', 74, 75], ['DATE', 79, 80]]"
229,S2213671113000908-810.txt,Flow cytometry analyses showed that 80% of the resulting DE population coexpresses CXCR4 and SOX17 (Figure S1D).,"[['PERCENT', 142, 144], ['ORG', 147, 148], ['ORG', 150, 151]]"
230,S175058361300203X-1556.txt,"8) of both the 34 °C and 38 °C options look very similar and also show some similarity to the real data, also shown in Fig.","[['CARDINAL', 8, 9], ['DATE', 16, 17], ['PERSON', 36, 37]]"
231,S175058361300203X-1556.txt,8.,"[['CARDINAL', 38, 39]]"
232,S175058361300203X-1556.txt,(2012).,"[['DATE', 82, 83]]"
233,S175058361300203X-1556.txt,Seismic amplitude differences between the 38 °C and 34 °C scenarios correspond to less than 1% of the amplitude values of the baseline (Fig.,"[['CARDINAL', 125, 126], ['PERCENT', 131, 135], ['PERSON', 143, 144]]"
234,S175058361300203X-1556.txt,8).,"[['CARDINAL', 145, 146]]"
235,S175058361300203X-1556.txt,"Since the normalized root mean square (NRMS) differences in the 3D time-lapse data are greater than 10% (Kashubin et al., 2011) these temperature effects in the reservoir will not be resolvable with surface seismic methods at the Ketzin site.","[['ORG', 159, 160], ['PERCENT', 165, 169], ['PERSON', 170, 171], ['DATE', 175, 176], ['ORG', 193, 194]]"
236,S0960148113005727-1181.txt,"Operating efficiency: sub-optimal control systems, misaligned components and electrical losses within the farm are found to reduce output by 2% in well-performing field installations relative to the turbine's supplied power curve [30];","[['PERCENT', 23, 25], ['CARDINAL', 40, 41]]"
237,S1873506113001116-1204.txt,"BC1 cells cultured on E8 feeder-free conditions (E8-Matrigel or E8-VNT-N) for at least 3 passages were seeded as a single cell suspension in E8 medium supplemented with Y27632 on the first day (Watanabe et al., 2007).","[['CARDINAL', 52, 53], ['PRODUCT', 58, 61], ['ORG', 62, 67], ['CARDINAL', 69, 72], ['CARDINAL', 81, 82], ['GPE', 85, 86], ['DATE', 87, 90], ['DATE', 96, 97]]"
238,S1873506113001116-1204.txt,The cells survived and formed convex dish-shaped aggregates within 24 h due to the gravity force (Fig. 1a).,"[['CARDINAL', 110, 111], ['PERSON', 118, 119], ['CARDINAL', 120, 121]]"
239,S1873506113001116-1204.txt,"BC1 cells expanded in static suspension in E8 medium with an average rate of 3.7 ± 0.9 fold per passage, 3.7 × 106 fold increase in total with > 99% of the cells being TRA-1–60+ after 13 passages (Fig.","[['CARDINAL', 148, 149], ['CARDINAL', 155, 156], ['QUANTITY', 157, 159], ['CARDINAL', 162, 163], ['PERCENT', 170, 173], ['CARDINAL', 180, 181], ['ORG', 183, 184]]"
240,S1873506113001116-1204.txt,"1b,c).","[['CARDINAL', 185, 186]]"
241,S1873506113001116-1204.txt,"We also examined the differentiation potential of expanded cells, using the spin-EB method (Ng et al., 2008, 2005;","[['DATE', 214, 215]]"
242,S1873506113001116-1204.txt,"Yu et al., 2008).",[]
243,S1873506113001116-1204.txt,"We found that under the hematopoiesis-inducing condition, leukocyte-like cells emerged around day 10 (Fig. 1d) with 46.8% ± 1.6% of the cells becoming CD34+CD45+ HPCs (Fig. 1e).","[['DATE', 239, 242], ['PERSON', 243, 244], ['CARDINAL', 245, 246], ['PERCENT', 248, 250], ['PERCENT', 250, 253], ['ORG', 261, 262], ['CARDINAL', 263, 264]]"
244,S1873506113001116-1204.txt,"These results indicate that undifferentiated hiPSCs can be expanded in suspension in E8 medium supplemented with one-day treatment of Y27632, and retain their differentiation potential.","[['CARDINAL', 278, 279], ['DATE', 282, 285], ['GPE', 287, 288]]"
245,S0019103512003995-1283.txt,Density profiles O and H based on the C2 model (Paper I) and the density profile of H based on the empirical model of K10 with a mean temperature of 7200 K.,"[['ORG', 26, 27], ['CARDINAL', 32, 33]]"
246,S0012821X12004384-1148.txt,"Located within proximity to the North Atlantic igneous province (NAIP), the Kilda Basin, and the northern rain belt (paleolatitude 54 °N) during the PETM, this is a critical region for testing proposed triggers of atmospheric carbon release that may have caused the global negative carbon isotope excursion (CIE) in marine and terrestrial environments.","[['LOC', 33, 36], ['ORG', 39, 40], ['LOC', 42, 45], ['DATE', 53, 54], ['ORG', 59, 60], ['ORG', 85, 86]]"
247,S0012821X12004384-1148.txt,"Multiproxy palynological, geochemical, and sedimentologic records demonstrate enhanced halocline stratification and terrigenous deposition well before (103 yrs) the CIE, interpreted as due to either tectonic uplift possibly from a nearby magmatic intrusion, or increased precipitation and fluvial runoff possibly from an enhanced hydrologic cycle.","[['PERSON', 138, 139], ['CARDINAL', 156, 157], ['ORG', 160, 161]]"
248,S0006322312001096-626.txt,Association Between Framingham Risk Scores (per 10% Increase) and Subsequent Onset of Depressive Symptoms Before and After Age 65,"[['PERSON', 2, 5], ['PERCENT', 7, 9], ['DATE', 20, 22]]"
249,S0960148113004989-3258.txt,3c.,"[['CARDINAL', 11, 12]]"
250,S0960148113004989-3258.txt,"For this test, inequality constraints were applied to enforce a minimum distance of 30 m between each turbine.","[['CARDINAL', 36, 37]]"
251,S0960148113004989-3258.txt,"The optimisation algorithm terminated after 56 iterations (55 gradient evaluations, 73 functional evaluations).","[['CARDINAL', 47, 48], ['CARDINAL', 50, 51], ['CARDINAL', 54, 55]]"
252,S0960148113004989-3258.txt,"The optimised farm layout extracts 40.6 MW, which corresponds to an increase of 31% compared to the initial layout (30.9 MW) (Fig. 8c).","[['CARDINAL', 64, 65], ['ORG', 65, 66], ['PERCENT', 73, 75], ['CARDINAL', 81, 82], ['ORG', 82, 83], ['PERSON', 85, 86], ['CARDINAL', 87, 88]]"
253,S2211124712002884-1060.txt,"The cells were maintained in Dulbecco's modified Eagle's medium supplemented with 10% fetal bovine serum, 1X nonessential amino acids, and penicillin/streptomycin (100 U/ml).","[['ORG', 108, 109], ['PERCENT', 113, 115], ['CARDINAL', 119, 120], ['CARDINAL', 129, 130]]"
254,S2211124712002884-1060.txt,"iPSCs were generated as described previously (Takahashi et al., 2007).","[['PERSON', 142, 143], ['DATE', 147, 148]]"
255,S016412121300188X-4392.txt,"A precision of 1.00 (US = UH) means the hash function is 100% accurate (i.e., it produces a unique hash value for every distinct slice) whereas a precision of 1/US means that the hash function produces the same hash value for every slice leaving UH = 1.","[['CARDINAL', 22, 23], ['GPE', 24, 25], ['PERCENT', 33, 35], ['MONEY', 54, 57], ['CARDINAL', 73, 74]]"
256,S0016236113008041-872.txt,"Effect of bed inventory on increase of solid major elemental concentrations for bed inventories of 4.5 kg, 6 kg and 13 kg CaCO3.","[['QUANTITY', 15, 18], ['QUANTITY', 18, 21], ['QUANTITY', 21, 23]]"
257,S016412121300188X-4640.txt,Indent  has one extremely large coherent cluster that spans 52.1% of the program's vertices.,"[['CARDINAL', 3, 4], ['PERCENT', 10, 12]]"
258,S016412121300188X-4640.txt,The cluster is formed of vertices from 54 functions spread over 7 source files.,"[['CARDINAL', 25, 26], ['CARDINAL', 29, 30]]"
259,S016412121300188X-4640.txt,"Out of the 54 functions, 26 begin with the common prefix of “handle_token”.","[['CARDINAL', 48, 49], ['CARDINAL', 51, 52]]"
260,S016412121300188X-4640.txt,These 26 functions are individually responsible for handling a specific token during the formatting process.,"[['CARDINAL', 63, 64]]"
261,S0960148113002048-3775.txt,"(29), is presented in Fig.","[['CARDINAL', 9, 10], ['PERSON', 15, 16]]"
262,S0960148113002048-3775.txt,13.,"[['CARDINAL', 17, 18]]"
263,S0960148113002048-3775.txt,"Strategies A–C lead to similar generator efficiencies, the two major trends being that increased average wind speed causes a higher generator efficiency while a higher frequency of the wind speed reduces the generator efficiency.","[['CARDINAL', 30, 31]]"
264,S0960148113002048-3775.txt,In the low wind speed case at wind frequencies of 0.01–0.03,"[['CARDINAL', 129, 130]]"
265,S0960148113002048-3775.txt,In the low wind speed case at wind frequencies above 0.003,"[['CARDINAL', 177, 178]]"
266,S0960148113002048-3775.txt,10 and 11.,[]
267,S0006322312001096-1177.txt,"The Whitehall II study is a prospective cohort study of British civil servants established in 1985 to study associations between risk factors, pathophysiological changes, and clinical disease (22).","[['NORP', 10, 11], ['DATE', 15, 16], ['CARDINAL', 30, 31]]"
268,S0006322312001096-1177.txt,"The target population was all London-based office staff, aged 35 to 55, working in 20 civil service departments on recruitment to the study in 1985 to 1988 (phase 1).","[['GPE', 38, 39], ['DATE', 45, 48], ['CARDINAL', 51, 52], ['DATE', 61, 64], ['CARDINAL', 66, 67]]"
269,S0006322312001096-1177.txt,"With a response of 73%, the cohort consisted of 10,308 employees (6895 men and 3413 women).","[['PERCENT', 73, 75], ['CARDINAL', 80, 81], ['CARDINAL', 83, 84]]"
270,S0006322312001096-1177.txt,"Since the phase 1 medical examination, follow-up examinations have taken place approximately every 5 years: phase 3 (1991 to 1993, n = 8815); phase 5 (1997 to 1999, n = 7870); phase 7 (2003 to 2004, n = 6967); and phase 9 (2008 to 2009, n = 6761).","[['CARDINAL', 93, 94], ['DATE', 104, 108], ['CARDINAL', 110, 111], ['DATE', 112, 115], ['DATE', 118, 119], ['CARDINAL', 122, 123], ['DATE', 124, 127], ['CARDINAL', 130, 131], ['CARDINAL', 134, 135], ['DATE', 136, 139], ['DATE', 142, 143], ['DATE', 147, 152], ['DATE', 155, 156]]"
271,S0006322312001096-1177.txt,"Phase 3 was the first time that all components of the Framingham risk algorithms were measured, making it the baseline for the analyses we report here.","[['CARDINAL', 159, 160], ['ORDINAL', 162, 163], ['GPE', 169, 170]]"
272,S0006322312001096-1177.txt,"We use data from three screening cycles: from phase 3 to phase 5, from phase 5 to phase 7, and from phase 7 to phase 9 with phases 3, 5, and 7 providing baseline measures of vascular risk to assess incidence of depressive symptoms at phases 5, 7, and 9 in the three data cycles, respectively.","[['CARDINAL', 190, 191], ['CARDINAL', 196, 197], ['CARDINAL', 199, 200], ['CARDINAL', 203, 204], ['CARDINAL', 206, 207], ['CARDINAL', 211, 212], ['CARDINAL', 214, 215], ['CARDINAL', 217, 218], ['DATE', 219, 220], ['CARDINAL', 222, 223], ['CARDINAL', 237, 238], ['DATE', 239, 240], ['CARDINAL', 242, 243], ['CARDINAL', 245, 246]]"
273,S0927024813001955-576.txt,Comparison of the performance of ITO/AALD ZnO/P3HT:PCBM/MoO3/Ag devices with the 125 nm thick AALD ZnO film post-annealed at different temperatures for 1 h.,"[['ORG', 0, 1], ['ORG', 5, 6], ['PERSON', 10, 11], ['CARDINAL', 20, 21], ['CARDINAL', 33, 34]]"
274,S0927024813001955-576.txt,The devices were measured after one week of storage in the dark under ambient conditions.,"[['DATE', 57, 59]]"
275,S2211124713006475-1195.txt,"To assess the in vivo properties of hESC-derived trigeminal placode precursors, PIP-induced neuronal clusters, derived from a constitutively GFP-positive hESC line (Figures S5A and S5B), were injected into the developing chick embryo targeting the early trigeminal anlage at H&H stage 10–12 (Figure S5C).","[['ORG', 24, 25], ['ORG', 49, 50], ['DATE', 51, 52]]"
276,S2211124713006475-1195.txt,"Two days after in ovo transplantation, surviving GFP+ cells were found dispersed in the area of the endogenous chick trigeminal ganglion (Figure 4P).","[['DATE', 78, 80], ['CARDINAL', 102, 103]]"
277,S2211124713006475-1195.txt,The in vivo fiber outgrowth 2 days after transplantation was reminiscent of the extensive in vitro fiber outgrowth of replated trigeminal neuron clusters (Figure S5A).,"[['DATE', 150, 152]]"
278,S175058361300203X-1483.txt,(2010) to account for the lateral variability in the petrophysical properties of the storage formation at Ketzin.,"[['DATE', 16, 17], ['ORG', 33, 34]]"
279,S175058361300203X-1483.txt,(2010) performed simulations on multiple realizations of the Ketzin reservoir using a stochastic Monte Carlo approach in order to take into account the high degree of uncertainty in the reservoir characterization at the scale required for fluid flow simulations.,"[['DATE', 40, 41], ['ORG', 49, 50], ['PERSON', 54, 56]]"
280,S175058361300203X-1483.txt,"Hydrogeological studies at the Ketzin site (Norden et al., 2010) have shown that a 2D radially symmetric model of the upper part (33 m) of the Stuttgart Formation can be used to interpret the 3D data acquired near the injection well (Fig. 7).","[['GPE', 121, 122], ['DATE', 129, 130], ['CARDINAL', 135, 136], ['CARDINAL', 144, 145], ['ORG', 148, 151], ['ORG', 157, 158], ['PERSON', 165, 166], ['CARDINAL', 167, 168]]"
281,S175058361300203X-1483.txt,"This model accounts for the presence of channel sandstones in the reservoir that are the most favorable for CO2 migration and contains effective porosities in the range of 20–25% (Förster et al., 2010).","[['PERCENT', 198, 200], ['DATE', 206, 207]]"
282,S175058361300203X-1483.txt,"As known from core and log analysis of the injection well Ktzi201/2007 and the first observation well Ktzi200/2007, the reservoir is composed of two high porosity sandstone layers.","[['GPE', 220, 221], ['ORDINAL', 223, 224], ['ORG', 226, 227], ['CARDINAL', 233, 234]]"
283,S175058361300203X-1483.txt,"These layers are separated by a thin strongly cemented sandstone layer (Norden et al., 2010).","[['DATE', 256, 257]]"
284,S175058361300203X-1483.txt,"However, this layer is known to be a significant constraint to fluid migration due to its low permeability (Wiese et al., 2010).","[['DATE', 313, 314]]"
285,S0378383911001669-1088.txt,Depth time-series and depth-averaged bed-parallel velocity time-series at x = 0.072 m for the 1.3 mm sand-rough beach; results from 50 individual events (grey) and ensemble-averaged result (black).,"[['CARDINAL', 18, 19], ['QUANTITY', 22, 24], ['CARDINAL', 31, 32]]"
286,S0012821X12004384-1640.txt,A negative carbon isotope excursion of 5‰ has been identified from δ13CTOC and δ13CAOM in an expanded Paleocene–Eocene boundary section from the central North Sea Basin.,"[['LOC', 25, 28]]"
287,S0012821X12004384-1640.txt,"Enhanced halocline stratification and terrigenous input from 4 m before the CIE may indicate tectonic uplift and oceanic restriction of the North Sea, supporting hypotheses for NAIP volcanism as a trigger for the CIE (Svensen et al., 2004), and/or increased terrigenous runoff and regional precipitation, supporting hypotheses of an enhanced hydrologic cycle triggering carbon release (Bice and Marotzke, 2002).","[['CARDINAL', 78, 79], ['ORG', 82, 83], ['LOC', 91, 94], ['ORG', 98, 99], ['ORG', 105, 106], ['DATE', 112, 113], ['ORG', 134, 135], ['DATE', 138, 139]]"
288,S0012821X12004384-1640.txt,"At this location (paleolatitude 54 oN) increased precipitation would support the hypothesis that a poleward migration of storm tracks from an enhanced hydrologic cycle resulted from global warming during the PETM (Pagani et al., 2006b).","[['DATE', 201, 202], ['DATE', 235, 236]]"
289,S0378383912000130-3732.txt,9 presents time-series of the hydraulic gradient at several cross-shore locations for the 1.5 mm and the 8.5 mm beaches.,"[['CARDINAL', 24, 25]]"
290,S0378383912000130-3732.txt,"Note that the results are given relative to time t0, which is the bore arrival time at each cross-shore location, and only while the wetting front is still moving towards the groundwater table.",[]
291,S0019103512001388-3081.txt,"The observed peak in the fractional integrated differential brightness of BS1 in the H filter was observed to be 0.64% in the discovery image on 26 October 2011, and declined to 0.02% by December 16.","[['PERCENT', 19, 21], ['DATE', 26, 29], ['PERCENT', 33, 35], ['DATE', 36, 38]]"
292,S0927775713009606-1216.txt,"Wide-angle diffraction patterns were acquired using a Bruker AXS D8 diffractometer with CuKα (λ = 1.5418 Å), over a 2θ range from 5° to 85°, using a step size of 0.1° and a counting time per step of 4 s. CdS particle size was calculated using the Scherrer equation, assuming a spherical particle morphology and using a Gaussian peak fitting procedure to determine the FWHM (i.e. K = 0.9).","[['ORG', 9, 10], ['PERSON', 14, 15], ['CARDINAL', 18, 19], ['CARDINAL', 24, 25], ['CARDINAL', 27, 28], ['CARDINAL', 30, 31], ['CARDINAL', 38, 39], ['CARDINAL', 47, 48], ['ORG', 56, 57], ['PERSON', 67, 68], ['ORG', 74, 75], ['CARDINAL', 79, 80]]"
293,S1873506113001116-710.txt,(a) Light microscope image of aggregates after 48 h post-inoculation of single suspension BC1 cells in ultra-low attachment plates.,"[['CARDINAL', 20, 21]]"
294,S1873506113001116-710.txt,"(b) BC1 cells cultured in E8 medium, expanded in static suspension culture for 13 passages (45 days, n = 3).","[['CARDINAL', 44, 45], ['CARDINAL', 53, 54], ['DATE', 56, 58], ['CARDINAL', 61, 62]]"
295,S1873506113001116-710.txt,(c) Flow cytometry plots (n = 3) of TRA-1–60 expression in hiPSCs after 13 passages in static suspension.,"[['CARDINAL', 73, 74], ['NORP', 76, 77], ['DATE', 79, 80], ['CARDINAL', 81, 82]]"
296,S1873506113001116-710.txt,(d) Light microscope image of HPC-like single suspending cells emerging around a spin-EB on day 14.,"[['DATE', 107, 109]]"
297,S1873506113001116-710.txt,(e) Flow cytometry plots (n = 2) of CD34 and CD45 expression in day-14 spin EBs.,"[['CARDINAL', 119, 120], ['PRODUCT', 122, 123], ['PRODUCT', 124, 125]]"
298,S1873506113001116-710.txt,Scale bars = 200 μm.,"[['CARDINAL', 139, 140]]"
299,S1084804513001987-7409.txt,"In this section, we propose a strategy to further reduce the distortion area, which is called two-dimensional scaling.","[['CARDINAL', 18, 19]]"
300,S1084804513001987-7409.txt,"Two-dimensional scaling works with any quantization method, such as uniform scaling or logarithmic scaling.","[['CARDINAL', 23, 24]]"
301,S1084804513001987-7409.txt,We then calculate the upper bound of the distortion area produced by two-dimensional scaling.,"[['CARDINAL', 53, 54]]"
302,S1084804513001987-7409.txt,"Finally, we consider both quantization schemes, namely, uniform scaling and logarithmic scaling, and compare the error of two-dimensional scaling with that of the existing quantization-based algorithms.","[['CARDINAL', 79, 80]]"
303,S0960896612001022-1223.txt,KSS is a multisystem disorder defined clinically by the triad of PEO and pigmentary retinopathy with onset before the age of 20 years plus at least one of: cardiac conduction block; cerebrospinal fluid (CSF) protein concentration greater than 0.1 g/L; cerebellar ataxia [76–80].,"[['ORG', 0, 1], ['DATE', 18, 23], ['CARDINAL', 24, 27], ['ORG', 36, 37], ['CARDINAL', 42, 43], ['CARDINAL', 50, 51]]"
304,S0960896612001022-1223.txt,"The most common magnetic resonance imaging (MRI) findings are cerebral and cerebellar atrophy with bilateral, often symmetrical, hyperintense lesions in the subcortical white matter, thalamus, basal ganglia and brainstem [81–83].",[]
305,S0960896612001022-1223.txt,"Interestingly, there appears to be little correlation between neurological deficits and the severity of the MRI features [84].","[['CARDINAL', 152, 153]]"
306,S0960896612001022-1223.txt,KSS is most commonly associated with single large-scale deletions of mtDNA [56].,"[['ORG', 155, 156], ['CARDINAL', 169, 170]]"
307,S0960896612001022-1223.txt,We recently identified a case of KSS caused by nuclear genomic dysfunction due to mutations in RRM2B in a patient with multiple deletions of the mtDNA [85].,"[['ORG', 178, 179], ['CARDINAL', 199, 200]]"
308,S0167610513002729-1127.txt,The situation for the 45° case is more interesting (Fig. 9).,"[['CARDINAL', 4, 5], ['PERSON', 11, 12], ['CARDINAL', 13, 14]]"
309,S175058361300203X-1542.txt,"It is well known that the seismic velocity in sandstones saturated with brine does not depend on temperatures in the range of 34–38 °C (e.g. Mavko, 2005).","[['CARDINAL', 22, 23], ['GPE', 27, 28], ['DATE', 29, 30]]"
310,S175058361300203X-1542.txt,"To demonstrate this we calculated the difference in Vp between both temperature scenarios present at the Ketzin site at the time of the 1st 3D seismic repeat campaign (Ivanova et al., 2012) using Gassmann's equations (1951) for 50% CO2 saturation.","[['ORG', 48, 49], ['MONEY', 56, 57], ['ORG', 61, 62], ['DATE', 66, 67], ['ORG', 69, 70], ['DATE', 73, 74], ['PERCENT', 76, 78]]"
311,S175058361300203X-1542.txt,The resulting difference between the scenarios in Vp is less than 5 m,[]
