,document_name,sentence,entities,np
414,S0019103511004994-1399,"As already inferred from data of the first flybys of the Pioneer 11 (1979), Voyager 1 (1980) and Voyager 2 (1981) spacecraft, respectively (Smith et al., 1981; Krimigis et al., 1982), this moon plays the same role Io does for the jovian system.","[('ORDINAL', (94, 95)), ('DATE', (101, 102)), ('DATE', (107, 108)), ('PRODUCT', (110, 112)), ('DATE', (113, 114)), ('DATE', (124, 125)), ('DATE', (131, 132)), ('LOC', (140, 141))]","[('data', (91, 92)), ('the first flybys', (93, 96)), ('the Pioneer', (97, 99)), ('Smith et al', (119, 122)), ('Krimigis et al', (126, 129)), ('this moon', (134, 136)), ('the same role', (137, 140)), ('Io', (140, 141)), ('the jovian system', (143, 146))]"
415,S0019103511004994-1399,"The Cassini spacecraft, in orbit around Saturn since July 2004, has flown by Enceladus 14 times between 2005 and 2010.","[('PERSON', (148, 149)), ('PRODUCT', (154, 155)), ('DATE', (156, 158)), ('ORG', (162, 164)), ('DATE', (165, 169))]","[('The Cassini spacecraft', (147, 150)), ('orbit', (152, 153)), ('Saturn', (154, 155)), ('July', (156, 157)), ('Enceladus', (162, 163))]"
416,S0019103511004994-1399,"Data from Cassini instrument teams identified a plume of water geysers above the so called “tigerstripes” on the south pole of the moon (Dougherty et al., 2006; Porco et al., 2006).","[('GPE', (172, 173)), ('DATE', (201, 202)), ('PERSON', (203, 204)), ('DATE', (208, 209))]","[('Data', (170, 171)), ('Cassini', (172, 173)), ('instrument teams', (173, 175)), ('a plume', (176, 178)), ('water geysers', (179, 181)), ('the so called “tigerstripes', (182, 187)), ('the south pole', (189, 192)), ('the moon', (193, 195)), ('.', (206, 207))]"
417,S0019103511004994-1399,This discovery is one of the most important findings to better understand the saturnian magnetosphere.,[],"[('This discovery', (211, 213)), ('the most important findings', (216, 220))]"
418,S0019103511004994-1399,"The material released in the form of water gas, ice molecules and dust (Waite et al., 2006; Spahn et al., 2006) from those geysers is the main source of the E-ring and the neutral torus and is the major plasma source of water group ions in the magnetosphere.","[('DATE', (247, 248)), ('DATE', (254, 255))]","[('The material', (227, 229)), ('the form', (231, 233)), ('water gas', (234, 236)), ('ice molecules', (237, 239)), ('dust', (240, 241)), ('Waite', (242, 243)), ('et al', (243, 245)), ('Spahn et al', (249, 252)), ('those geysers', (257, 259)), ('the main source', (260, 263)), ('the E', (264, 266)), ('-', (266, 267)), ('ring', (267, 268)), ('the neutral torus', (269, 272)), ('the major plasma source', (274, 278)), ('water group ions', (279, 282)), ('the magnetosphere', (283, 285))]"
419,S0019103511004994-1399,A summary of Enceladus findings from Cassini measurements is very well presented by Spencer et al.,"[('NORP', (289, 290)), ('GPE', (292, 293)), ('PERSON', (299, 300))]","[('A summary', (286, 288)), ('Enceladus findings', (289, 291)), ('Cassini measurements', (292, 294)), ('Spencer et al', (299, 302))]"
420,S0019103511004994-1399,(2009).,"[('DATE', (304, 305))]",[]
421,S0921818113002245-1571,Three different methods were used to recover sediment cores in 2010.,"[('CARDINAL', (0, 1)), ('DATE', (10, 11))]","[('Three different methods', (0, 3)), ('sediment cores', (7, 9))]"
422,S0921818113002245-1571,"The upper 0.8 m of sediments were recovered using a freeze-coring technique (Renberg and Hansson, 1993).","[('CARDINAL', (14, 15)), ('PERSON', (27, 28)), ('PERSON', (29, 30)), ('DATE', (31, 32))]","[('The upper 0.8 m', (12, 16)), ('sediments', (17, 18)), ('a freeze-coring technique', (21, 26)), ('Renberg', (27, 28)), ('Hansson', (29, 30))]"
423,S0921818113002245-1571,This core recovers a thin (approximately 1 cm) vertical slab of relatively undisturbed sediment and was only used for correlation purposes.,"[('QUANTITY', (41, 43))]","[('This core', (34, 36)), ('a thin (approximately 1 cm', (37, 43)), ('vertical slab', (44, 46)), ('relatively undisturbed sediment', (47, 50)), ('correlation purposes', (55, 57))]"
424,S0921818113002245-1571,The freezing technique physically disturbs the micro-structure of unconsolidated sediments and paleomagnetic sub-samples were not obtained from it.,[],"[('The freezing technique', (58, 61)), ('the micro', (63, 65)), ('-', (65, 66)), ('structure', (66, 67)), ('unconsolidated sediments', (68, 70)), ('paleomagnetic sub', (71, 73)), ('-', (73, 74)), ('samples', (74, 75)), ('it', (79, 80))]"
425,S0921818113002245-1571,Five cores for paleomagnetic measurements were recovered using a rod-operated fixed-piston corer described by Snowball and Sandgren (2002).,"[('CARDINAL', (81, 82)), ('PERSON', (99, 100)), ('DATE', (103, 104))]","[('Five cores', (81, 83)), ('paleomagnetic measurements', (84, 86)), ('a rod-operated fixed-piston corer', (89, 97)), ('Snowball', (99, 100)), ('Sandgren', (101, 102))]"
426,S0921818113002245-1571,"This system recovers complete 4.8 m long cores of sediment in PVC tubes of either 60 or 63 mm internal diameter, although it is not oriented to a geographic azimuth for practical reasons.","[('CARDINAL', (110, 111)), ('ORG', (117, 118)), ('CARDINAL', (121, 122))]","[('This system', (106, 108)), ('4.8 m long cores', (110, 114)), ('sediment', (115, 116)), ('PVC tubes', (117, 119)), ('either 60 or 63 mm internal diameter', (120, 127)), ('it', (129, 130)), ('a geographic azimuth', (134, 137)), ('practical reasons', (138, 140))]"
427,S0921818113002245-1571,"This system provided four overlapping cores for paleomagnetic reconstructions to a sediment depth of 8 m (GD0a, GP1, GP2 and GP4.","[('CARDINAL', (144, 145)), ('CARDINAL', (155, 156))]","[('This system', (141, 143)), ('four overlapping cores', (144, 147)), ('paleomagnetic reconstructions', (148, 150)), ('a sediment depth', (151, 154)), ('8 m', (155, 157)), ('GD0a', (158, 159)), ('GP1', (160, 161)), ('GP2', (162, 163)), ('GP4', (164, 165))]"
428,S0921818113002245-1571,GP3 failed due to an insecure piston).,[],"[('GP3', (166, 167)), ('an insecure piston', (170, 173))]"
429,S0921818113002245-1571,A cable operated Uwitec “Niederreiter” percussion piston corer (three metre long drives) was subsequently used to recover sediments to depth of approximately 11.8 m (drives GD1–GD4).,"[('PERSON', (178, 179)), ('QUANTITY', (186, 188)), ('MONEY', (200, 203)), ('PRODUCT', (205, 208))]","[('A cable', (175, 177)), ('Uwitec “Niederreiter” percussion piston corer', (178, 185)), ('three metre long drives', (186, 190)), ('sediments', (196, 197)), ('approximately 11.8 m', (200, 203)), ('GD1', (205, 206)), ('GD4', (207, 208))]"
430,S0921818113002245-1571,"Sandy sediment was recovered in the bottom of GD4, equivalent to a sediment depth between 11.8 m and 11.5 m and it proved impossible to penetrate through this material with the available equipment.","[('CARDINAL', (226, 227)), ('CARDINAL', (229, 230))]","[('Sandy sediment', (210, 212)), ('the bottom', (215, 217)), ('GD4', (218, 219)), ('a sediment depth', (222, 225)), ('m', (230, 231)), ('it', (232, 233)), ('this material', (238, 240)), ('the available equipment', (241, 244))]"
431,S0016236113008041-961,"SEM–EDS analysis of sorbent for reactions undertaken with different SO2 concentrations, showing error bars of +1%.","[('PERCENT', (18, 20))]","[('SEM', (0, 1)), ('EDS analysis', (2, 4)), ('sorbent', (5, 6)), ('reactions', (7, 8)), ('different SO2 concentrations', (10, 13)), ('error bars', (15, 17)), ('+1%', (18, 20))]"
432,S1359645413009816-2973,"Only a few experimental data are available in the literature for grain boundary expansion, primarily for isolated grain boundaries with a distinct orientation relation.",[],"[('Only a few experimental data', (0, 5)), ('the literature', (8, 10)), ('grain boundary expansion', (11, 14)), ('isolated grain boundaries', (17, 20)), ('a distinct orientation relation', (21, 25))]"
433,S1359645413009816-2973,"From high-resolution transmission electron microscopy, values for Au of eGB=(0.04–0.10)×10-10m (Ref.","[('CARDINAL', (38, 41)), ('ORG', (43, 44))]","[('high-resolution transmission electron microscopy', (27, 33)), ('values', (34, 35)), ('Au', (36, 37)), ('eGB=(0.04–0.10)×10', (38, 39)), ('10m', (40, 42)), ('(Ref', (42, 44))]"
434,S1359645413009816-2973,[22]) or eGB=0.12×10-10m (Ref.,"[('CARDINAL', (46, 47)), ('ORG', (55, 56))]","[('eGB=0.12×10', (50, 51)), ('-10m', (51, 54)), ('(Ref', (54, 56))]"
435,S1359645413009816-2973,[23]) are reported.,"[('CARDINAL', (58, 59))]",[]
436,S1359645413009816-2973,"From measurements of the grain boundary contact angle in an Al tricrystal, a value eGB=0.64×10-10m is reported by Shvindlerman et al.","[('ORG', (79, 80)), ('PERSON', (86, 87))]","[('measurements', (65, 66)), ('the grain boundary contact angle', (67, 72)), ('an Al tricrystal', (73, 76)), ('a value', (77, 79)), ('Shvindlerman et al', (86, 89))]"
437,S1359645413009816-2973,[24] applying a thermodynamic model.,"[('CARDINAL', (91, 92))]","[('a thermodynamic model', (94, 97))]"
438,S1359645413009816-2973,"For nanocrystalline Pd [25] and Fe [26], values of eGB=0.23×10-10m and 0.19×10-10m were determined from density measurements and modeling of grain growth kinetics, respectively.","[('CARDINAL', (102, 103)), ('CARDINAL', (107, 108)), ('ORG', (112, 115)), ('CARDINAL', (117, 120))]","[('nanocrystalline Pd', (99, 101)), ('values', (110, 111)), ('10m', (114, 116)), ('-10m', (118, 121)), ('density measurements', (124, 126)), ('modeling', (127, 128)), ('grain growth kinetics', (129, 132))]"
439,S1359645413009816-2973,A number of computer simulations of grain boundaries [27–30] deal with the issue of grain boundary expansion.,"[('CARDINAL', (144, 145))]","[('A number', (135, 137)), ('computer simulations', (138, 140)), ('grain boundaries', (141, 143)), ('the issue', (148, 150)), ('grain boundary expansion', (151, 154))]"
440,S1359645413009816-2973,"Here, however, the choice of the interatomic potentials was found to have a substantial influence on the numerical results [27].","[('CARDINAL', (177, 178))]","[('the choice', (159, 161)), ('the interatomic potentials', (162, 165)), ('a substantial influence', (169, 172)), ('the numerical results', (173, 176))]"
441,S1359645413009816-2973,"Most recently, grain boundary expansion data have been reported from molecular dynamics simulations on Ni, eGB=(0.28–0.42)×10-10m for random high-angle grain boundaries [30] and eGB=(0.39–0.41)×10-10m (at T = 1200 K) for Σ5 grain boundaries [29].","[('ORG', (195, 196)), ('CARDINAL', (197, 200)), ('CARDINAL', (209, 210)), ('CARDINAL', (228, 229))]","[('grain boundary expansion data', (183, 187)), ('molecular dynamics simulations', (191, 194)), ('Ni', (195, 196)), ('random high-angle grain boundaries', (202, 208)), ('T', (218, 219)), ('= 1200 K', (219, 222)), ('Σ5 grain boundaries', (224, 227))]"
442,S1359645413009816-2973,"Here, the matching of the data values with the data of the dilatometric studies of Cu and Ni is remarkable.","[('GPE', (247, 248)), ('PERSON', (249, 250))]","[('the matching', (233, 235)), ('the data values', (236, 239)), ('the data', (240, 242)), ('the dilatometric studies', (243, 246)), ('Cu', (247, 248)), ('Ni', (249, 250))]"
443,S0019103512004009-5033,The H/H+ transition in the MC09 model occurs near 1.4Rp.,"[('PRODUCT', (7, 8)), ('CARDINAL', (11, 12))]","[('The H/H+ transition', (0, 5)), ('the MC09 model', (6, 9))]"
444,S0019103512004009-5033,"If we replace the gray approximation with the full solar spectrum in this model, the H/H+ transition moves higher to 2–3Rp.","[('CARDINAL', (36, 37))]","[('we', (14, 15)), ('the gray approximation', (16, 19)), ('the full solar spectrum', (20, 24)), ('this model', (25, 27)), ('the H/H+ transition', (28, 33))]"
445,S0019103512004009-5033,"This is because photons with different energies penetrate to different depths in the atmosphere, extending the heating profile in altitude around the heating peak.",[],"[('photons', (41, 42)), ('different energies', (43, 45)), ('different depths', (47, 49)), ('the atmosphere', (50, 52)), ('the heating profile', (54, 57)), ('altitude', (58, 59)), ('the heating peak', (60, 63))]"
446,S0019103512004009-5033,This is why the temperature at the 30 nbar level in the C2 model is 3800 K and not 1000 K.,"[('CARDINAL', (71, 72)), ('PERSON', (79, 81))]","[('the temperature', (67, 69)), ('the 30 nbar level', (70, 74)), ('the C2 model', (75, 78)), ('3800 K', (79, 81)), ('not 1000 K.', (82, 85))]"
447,S0019103512004009-5033,"In order to test the effect of higher temperatures in the lower thermosphere, we extended the MC09 model to p0 = 1 μbar (with T0 = 1300 K) and again used the full solar spectrum for heating and ionization.","[('PRODUCT', (102, 103)), ('CARDINAL', (107, 108))]","[('order', (86, 87)), ('the effect', (89, 91)), ('higher temperatures', (92, 94)), ('we', (99, 100)), ('the MC09 model', (101, 104)), ('T0', (111, 112)), ('= 1300 K', (112, 115)), ('the full solar spectrum', (119, 123)), ('heating', (124, 125)), ('ionization', (126, 127))]"
448,S0019103512004009-5033,"With these conditions, the H/H+ transition moves up to 3.4Rp, in agreement with the C2 model.","[('CARDINAL', (140, 141))]","[('these conditions', (129, 131)), ('the H/H+ transition', (132, 137)), ('3.4Rp', (140, 141)), ('agreement', (143, 144)), ('the C2 model', (145, 148))]"
449,S0019103512004009-5033,We conclude that the unrealistic boundary conditions and the gray approximation adopted by Murray-Clay et al.,"[('ORG', (162, 165))]","[('We', (149, 150)), ('that the unrealistic boundary conditions', (151, 156)), ('the gray approximation', (157, 160)), ('Murray-Clay et al', (162, 167))]"
450,S0019103512004009-5033,(2009) and Guo (2011) lead to an underestimated overall density of H and an overestimated ion fraction.,"[('DATE', (169, 170)), ('PERSON', (172, 173)), ('DATE', (174, 175))]","[('Guo', (172, 173)), ('an underestimated overall density', (178, 182)), ('H', (183, 184)), ('an overestimated ion fraction', (185, 189))]"
451,S0019103512004009-5033,"Thus their density profiles yield a H Lyman α transit depth of the order of 2–3% i.e., not significantly higher than the visible transit depth.","[('PERCENT', (205, 207))]","[('their density profiles', (191, 194)), ('a H Lyman', (195, 198)), ('α transit depth', (198, 201)), ('the order', (202, 204)), ('2–3%', (205, 207)), ('the visible transit depth', (213, 217))]"
452,S0006322312001096-1190,"We used standard operating protocols to measure risk factors for the Framingham general CVD risk score (sex, age, diabetes, smoking, treated and untreated systolic blood pressure, total cholesterol, high-density lipoprotein [HDL] cholesterol), CHD risk score (sex, age, diabetes, smoking, systolic and diastolic blood pressure, total cholesterol, HDL cholesterol), and stroke risk score (sex, age, systolic blood pressure, diabetes, smoking, prior cardiovascular disease, atrial fibrillation, left-ventricular hypertrophy, use of hypertensive medications) at the baseline of each data cycle, i.e., phases 3, 5, and 7 (14–17).","[('ORG', (11, 12)), ('ORG', (13, 14)), ('ORG', (45, 46)), ('GPE', (66, 67)), ('CARDINAL', (115, 116)), ('DATE', (117, 118)), ('CARDINAL', (120, 121)), ('CARDINAL', (122, 123))]","[('We', (0, 1)), ('standard operating protocols', (2, 5)), ('risk factors', (7, 9)), ('the Framingham general CVD risk score', (10, 16)), ('sex', (17, 18)), ('age', (19, 20)), ('diabetes', (21, 22)), ('smoking', (23, 24)), ('systolic blood pressure', (28, 31)), ('total cholesterol', (32, 34)), ('high-density lipoprotein', (35, 39)), ('HDL] cholesterol', (40, 43)), ('CHD risk score', (45, 48)), ('sex', (49, 50)), ('age', (51, 52)), ('diabetes', (53, 54)), ('smoking', (55, 56)), ('blood pressure', (60, 62)), ('total cholesterol', (63, 65)), ('HDL cholesterol', (66, 68)), ('risk score', (72, 74)), ('sex', (75, 76)), ('age', (77, 78)), ('systolic blood pressure', (79, 82)), ('diabetes', (83, 84)), ('smoking', (85, 86)), ('prior cardiovascular disease', (87, 90)), ('atrial fibrillation', (91, 93)), ('left-ventricular hypertrophy', (94, 98)), ('use', (99, 100)), ('hypertensive medications', (101, 103)), ('the baseline', (105, 107)), ('each data cycle', (108, 111)), ('i.e., phases', (112, 115))]"
453,S0006322312001096-1190,"Venous blood was taken in the fasting state or at least 5 hours after a light, fat-free breakfast.","[('PERSON', (125, 126)), ('TIME', (134, 138))]","[('Venous blood', (125, 127)), ('the fasting state', (130, 133)), ('a light, fat-free breakfast', (139, 146))]"
454,S0006322312001096-1190,Serum for lipid analyses was refrigerated at −4°C and assayed within 72 hours.,"[('PERSON', (147, 148)), ('TIME', (160, 162))]","[('Serum', (147, 148)), ('lipid analyses', (149, 151)), ('−4°C', (154, 157)), ('72 hours', (160, 162))]"
455,S0006322312001096-1190,"Cholesterol was measured with the use of a Cobas Fara centrifugal analyzer (Roche Diagnostics System, Nutley, New Jersey).","[('FAC', (171, 173)), ('ORG', (176, 179)), ('GPE', (180, 181)), ('GPE', (182, 184))]","[('Cholesterol', (163, 164)), ('the use', (167, 169)), ('a Cobas Fara centrifugal analyzer', (170, 175)), ('Roche Diagnostics System', (176, 179)), ('Nutley', (180, 181))]"
456,S0006322312001096-1190,High-density lipoprotein cholesterol was measured by precipitating non-HDL cholesterol with dextran sulfate-magnesium chloride using a centrifuge and measuring cholesterol in the supernatant.,[],"[('High-density lipoprotein cholesterol', (186, 191)), ('non-HDL cholesterol', (195, 199)), ('dextran sulfate-magnesium chloride', (200, 205)), ('a centrifuge', (206, 208)), ('cholesterol', (210, 211)), ('the supernatant', (212, 214))]"
457,S0006322312001096-1190,Participants underwent an oral glucose tolerance test and new venous blood samples were taken at 2 hours postadministration of a 75 g glucose solution.,"[('TIME', (230, 232)), ('CARDINAL', (235, 236))]","[('Participants', (215, 216)), ('an oral glucose tolerance test', (217, 222)), ('new venous blood samples', (223, 227)), ('2 hours postadministration', (230, 233)), ('a 75 g glucose solution', (234, 239))]"
458,S0006322312001096-1190,Blood glucose was measured using the glucose oxidase method on a YSI MODEL 2300,"[('CARDINAL', (253, 254))]","[('Blood glucose', (240, 242)), ('the glucose oxidase method', (245, 249)), ('a YSI MODEL', (250, 253))]"
459,S0006322312001096-1190,"STAT PLUS Analyzer (YSI Corporation, Yellow Springs, Ohio; mean coefficient of variation: 1.4%–3.1%).","[('ORG', (258, 260)), ('GPE', (261, 263)), ('GPE', (264, 265)), ('PERCENT', (271, 273))]","[('STAT', (254, 255)), ('PLUS Analyzer', (255, 257)), ('YSI Corporation', (258, 260)), ('Yellow Springs', (261, 263)), ('Ohio', (264, 265)), ('mean coefficient', (266, 268)), ('variation', (269, 270)), ('1.4%–3.1%', (271, 273))]"
460,S0006322312001096-1190,Diabetes was defined by fasting glucose ≥7.0 mmol/,[],"[('Diabetes', (275, 276)), ('glucose', (280, 281))]"
461,S0006322312001096-1190,"L or 2-hour postload glucose ≥11.1 mmol/L, reported doctor diagnosed diabetes, or use of diabetes medication (24).","[('TIME', (286, 289)), ('CARDINAL', (307, 308))]","[('L', (284, 285)), ('2-hour postload glucose', (286, 291)), ('≥11.1 mmol', (291, 293)), ('L', (294, 295)), ('doctor', (297, 298)), ('diabetes', (299, 300)), ('use', (302, 303)), ('diabetes medication', (304, 306))]"
462,S0006322312001096-1190,"We measured systolic and diastolic blood pressure twice in the sitting position after 5 minutes rest with a Hawksley random-zero sphygmomanometer (phases 3 and 5) (Lynjay Services Ltd., Worthing, United Kingdom) and OMRON HEM 907 (phase 7)","[('TIME', (323, 325)), ('CARDINAL', (335, 336)), ('ORG', (340, 343)), ('GPE', (344, 345)), ('GPE', (346, 348)), ('CARDINAL', (355, 356))]","[('We', (310, 311)), ('systolic and diastolic blood pressure', (312, 317)), ('the sitting position', (319, 322)), ('a Hawksley random-zero sphygmomanometer', (327, 333)), ('Lynjay Services Ltd.', (340, 343)), ('Worthing', (344, 345)), ('United Kingdom', (346, 348)), ('OMRON HEM', (350, 352)), ('(phase', (353, 355))]"
463,S0006322312001096-1190,"(Omron, Milton Keynes, United Kingdom), the average of two readings used in the analysis.","[('PERSON', (360, 362)), ('GPE', (363, 365)), ('CARDINAL', (370, 371))]","[('(Omron', (357, 359)), ('Milton Keynes', (360, 362)), ('United Kingdom', (363, 365)), ('the average', (367, 369)), ('two readings', (370, 372)), ('the analysis', (374, 376))]"
464,S0006322312001096-1190,"Atrial fibrillation was identified on the Glasgow 12-lead electrocardiogram analysis program combined with manual review (Prof. P. Macfarlane, University of Glasgow, United Kingdom).","[('PERSON', (383, 384)), ('CARDINAL', (384, 385)), ('PERSON', (396, 398)), ('ORG', (399, 402)), ('GPE', (403, 405))]","[('Atrial fibrillation', (377, 379)), ('the Glasgow 12-lead electrocardiogram analysis program', (382, 390)), ('manual review (Prof. P. Macfarlane', (392, 398)), ('University', (399, 400)), ('Glasgow', (401, 402)), ('United Kingdom', (403, 405))]"
465,S0006322312001096-1190,"Limb lead electrocardiograms were classified according to the Minnesota code (25), with tall R waves (codes 3-1 to 3-3) used to reflect left ventricular hypertrophy.","[('LOC', (415, 416)), ('CARDINAL', (418, 419)), ('CARDINAL', (427, 428))]","[('Limb lead electrocardiograms', (407, 410)), ('the Minnesota code', (414, 417)), ('tall R waves', (422, 425)), ('left ventricular hypertrophy', (438, 441))]"
466,S0006322312001096-1190,"Information on smoking and use of antihypertensive drugs and lipid-lowering medication was requested at phases 3, 5, and 7.","[('CARDINAL', (459, 460)), ('DATE', (461, 462)), ('CARDINAL', (464, 465))]","[('Information', (442, 443)), ('smoking', (444, 445)), ('use', (446, 447)), ('antihypertensive drugs', (448, 450)), ('lipid-lowering medication', (451, 455)), ('phases', (458, 459))]"
467,S2213671113000738-647,"For the first two animals (Nos. 1 and 4), we established iPSCs from fibroblasts derived from the oral mucosa using retroviral vectors (Okita et al., 2011).","[('ORDINAL', (2, 3)), ('CARDINAL', (3, 4)), ('PERSON', (27, 28)), ('DATE', (32, 33))]","[('the first two animals', (1, 5)), ('we', (13, 14)), ('iPSCs', (15, 16)), ('fibroblasts', (17, 18)), ('the oral mucosa', (20, 23)), ('retroviral vectors', (24, 26)), ('Okita et al', (27, 30))]"
468,S2213671113000738-647,"For the other two animals (Nos. 6 and 8), we used peripheral blood mononuclear cells (PBMCs) with nonintegrating episomal vectors (Okita et al., 2013).","[('CARDINAL', (38, 39)), ('ORG', (41, 42)), ('PERSON', (61, 62)), ('DATE', (66, 67))]","[('the other two animals', (36, 40)), ('we', (47, 48)), ('peripheral blood mononuclear cells', (49, 53)), ('PBMCs', (54, 55)), ('nonintegrating episomal vectors', (57, 60)), ('Okita et al', (61, 64))]"
469,S2213671113000738-647,"We selected the best clone from each animal according to the following criteria: a stable embryonic stem cell (ESC)-like morphology of the colonies after passaging, expression of pluripotent markers, few or no integrated transgenes (Figures 1A–1F; Figure S1 available online), and the potential for stable neural differentiation.","[('CARDINAL', (109, 110))]","[('We', (69, 70)), ('the best clone', (71, 74)), ('each animal', (75, 77)), ('the following criteria', (79, 82)), ('a stable embryonic stem cell', (83, 88)), ('morphology', (90, 91)), ('the colonies', (92, 94)), ('expression', (97, 98)), ('pluripotent markers', (99, 101)), ('few or no integrated transgenes', (102, 107)), ('Figures', (108, 109)), ('Figure S1', (111, 113)), ('the potential', (118, 120)), ('stable neural differentiation', (121, 124))]"
470,S2213671113000738-647,"A PCR analysis revealed that all of the clones with retroviral vectors showed apparent expression of remaining transgenes (Figures S1C and S1D), whereas the clones with episomal vectors never did (Figure S1F).","[('ORG', (126, 127))]","[('A PCR analysis', (125, 128)), ('the clones', (132, 134)), ('retroviral vectors', (135, 137)), ('apparent expression', (138, 140)), ('remaining transgenes', (141, 143)), ('Figures S1C', (144, 146)), ('S1D', (147, 148)), ('the clones', (151, 153)), ('episomal vectors', (154, 156)), ('(Figure S1F', (158, 161))]"
471,S2213671113000738-647,"To detect the iPSC-derived cells in a brain, we introduced GFP (Figures 1G and 1H).","[('ORG', (176, 177)), ('CARDINAL', (179, 180)), ('CARDINAL', (182, 183))]","[('the iPSC-derived cells', (165, 170)), ('a brain', (171, 173)), ('we', (174, 175)), ('GFP', (176, 177)), ('Figures', (178, 179)), ('1G', (179, 181)), ('1H', (182, 183))]"
472,S2213671113000738-647,The selected clones of iPSCs had the potential to generate teratomas in the testes of a severe combined immunodeficiency (SCID) mouse within 12 weeks,"[('ORG', (205, 206)), ('DATE', (209, 211))]","[('The selected clones', (185, 188)), ('iPSCs', (189, 190)), ('the potential', (191, 193)), ('teratomas', (195, 196)), ('the testes', (197, 199)), ('a severe combined immunodeficiency', (200, 204)), ('SCID) mouse', (205, 208)), ('12 weeks', (209, 211))]"
473,S2213671113000738-647,(Figures 1I–1M).,[],"[('(Figures', (211, 213)), ('1I–1M', (213, 215))]"
474,S0378383911001669-1112,"Depth time-series at all six measurement locations for the 1.3 mm sand-rough (-), the 5.4 mm gravel-rough (--) and the 8.4 mm gravel-rough (-.-.) beaches.","[('CARDINAL', (6, 7)), ('QUANTITY', (11, 13)), ('QUANTITY', (21, 23)), ('QUANTITY', (31, 33))]","[('Depth time-series', (0, 4)), ('all six measurement locations', (5, 9)), ('the 8.4 mm gravel-rough (-.-.) beaches', (30, 41))]"
475,S1873506113001116-1369,BC1 and TNC1 hiPSCs cultured in spinner flasks for more than 10 passages were tested for their pluripotency by in vitro and in vivo differentiation methods.,"[('PERSON', (2, 4)), ('CARDINAL', (9, 12))]","[('BC1', (0, 1)), ('TNC1 hiPSCs', (2, 4)), ('spinner flasks', (6, 8)), ('more than 10 passages', (9, 13)), ('their pluripotency', (16, 18)), ('vivo differentiation methods', (23, 26))]"
476,S1873506113001116-1369,"For in vitro assay, by simply replacing the entire E8 medium with differentiation medium of day-2 spinner flask suspension culture, BC1 and TNC1 aggregates transformed into EBs and started spontaneous differentiation under the stimulation of 10% serum (Supplementary Fig.","[('CARDINAL', (37, 38)), ('ORG', (51, 52)), ('PERCENT', (64, 66)), ('PERSON', (68, 70))]","[('in vitro assay', (28, 31)), ('the entire E8', (35, 38)), ('differentiation medium', (40, 42)), ('day-2 spinner flask suspension culture', (43, 48)), ('BC1', (49, 50)), ('TNC1 aggregates', (51, 53)), ('EBs', (55, 56)), ('spontaneous differentiation', (58, 60)), ('the stimulation', (61, 63)), ('10% serum', (64, 67)), ('(Supplementary Fig', (67, 70))]"
477,S1873506113001116-1369,S4).,"[('PERSON', (71, 72))]","[('S4', (71, 72))]"
478,S1873506113001116-1369,"After 8 days in spinner flask followed by 4 days on gelatin-coated tissue culture plates in differentiation medium, cells of all three germ layers could be detected by immunofluorescent staining of specific markers (Fig. 5a).","[('DATE', (75, 77)), ('DATE', (82, 84)), ('CARDINAL', (98, 99)), ('ORG', (111, 112)), ('CARDINAL', (113, 114))]","[('8 days', (75, 77)), ('spinner flask', (78, 80)), ('4 days', (82, 84)), ('gelatin-coated tissue culture plates', (85, 91)), ('differentiation medium', (92, 94)), ('cells', (95, 96)), ('all three germ layers', (97, 101)), ('specific markers', (108, 110)), ('Fig', (111, 112))]"
479,S1873506113001116-1369,"In contrast, undifferentiated hiPSCs on day 0 showed negative staining of all germ markers (data not shown).","[('PERSON', (120, 121)), ('DATE', (122, 124))]","[('contrast', (117, 118)), ('undifferentiated hiPSCs', (119, 121)), ('day', (122, 123)), ('negative staining', (125, 127)), ('all germ markers', (128, 131)), ('data', (132, 133))]"
480,S1873506113001116-1369,"For in vivo assay, BC1 and TNC1 harvested from suspension culture in spinner flasks were injected into immune-deficient mice and were able to form teratomas containing cells of all germ layers, including glandular epithelium, chondrocytes, and neural rosettes (Fig.","[('PERSON', (182, 183))]","[('vivo assay', (139, 141)), ('BC1', (142, 143)), ('TNC1', (144, 145)), ('suspension culture', (147, 149)), ('spinner flasks', (150, 152)), ('immune-deficient mice', (155, 159)), ('teratomas', (164, 165)), ('cells', (166, 167)), ('all germ layers', (168, 171)), ('glandular epithelium', (173, 175)), ('chondrocytes', (176, 177)), ('neural rosettes', (179, 181)), ('Fig', (182, 183))]"
481,S1873506113001116-1369,5b).,"[('CARDINAL', (184, 185))]","[('5b', (184, 185))]"
482,S1873506113001116-1369,Directed hematopoietic differentiation potential was also tested as previously described (Fig. 5c).,"[('PERSON', (198, 199)), ('CARDINAL', (200, 201))]","[('Directed hematopoietic differentiation potential', (187, 191)), ('(Fig', (197, 199))]"
483,S1873506113001116-1369,Differentiating BC1 and TNC1 cells contained 43.57% ± 4.35% (n = 3) and 43.22% ± 7.13% (n = 3),"[('ORG', (206, 207)), ('PERCENT', (209, 211)), ('PERCENT', (211, 214)), ('CARDINAL', (217, 218)), ('PERCENT', (220, 222)), ('PERCENT', (222, 225)), ('CARDINAL', (228, 229))]","[('BC1', (204, 205)), ('TNC1 cells', (206, 208)), ('43.57% ±', (209, 212)), ('±', (222, 223)), ('7.13%', (223, 225))]"
