,docId,annotSet,annotType,startOffset,endOffset,annotId,text,other
4,S0031405612000728-1621,2,MeasuredProperty,642,648,T3-2,course,"{""HasQuantity"": ""T1-2""}"
5,S0031405612000728-1621,2,MeasuredEntity,664,674,T4-2,experiment,"{""HasProperty"": ""T3-2""}"
6,S0031405612000728-1621,3,Quantity,932,933,T1-3,9,"{""unit"": ""months""}"
7,S0031405612000728-1621,3,MeasuredProperty,912,921,T4-3,incubated,"{""HasQuantity"": ""T1-3""}"
8,S0031405612000728-1621,3,MeasuredEntity,922,927,T3-3,soils,"{""HasProperty"": ""T4-3""}"
9,S0031405612000728-1621,4,Quantity,937,947,T1-4,4.8 months,"{""unit"": ""months""}"
10,S0031405612000728-1621,4,MeasuredProperty,912,921,T4-4,incubated,"{""HasQuantity"": ""T1-4""}"
11,S0031405612000728-1621,4,MeasuredEntity,922,927,T3-4,soils,"{""HasProperty"": ""T4-4""}"
0,S1359645413009816-2243,1,Quantity,152,158,T1-1,1.5 nm,"{""unit"": ""nm""}"
1,S1359645413009816-2243,1,MeasuredProperty,130,148,T3-1,nominal resolution,"{""HasQuantity"": ""T1-1""}"
2,S1359645413009816-2243,1,MeasuredEntity,69,121,T2-1,LEO 1525 field emission scanning electron microscope,"{""HasProperty"": ""T3-1""}"
3,S1359645413009816-2243,2,Quantity,162,167,T1-2,20 kV,"{""unit"": ""kV""}"
4,S1359645413009816-2243,2,MeasuredEntity,69,121,T3-2,LEO 1525 field emission scanning electron microscope,"{""HasQuantity"": ""T1-2""}"
5,S1359645413009816-2243,3,Quantity,515,522,T1-3,5 K/min,"{""unit"": ""K/min""}"
6,S1359645413009816-2243,3,MeasuredProperty,499,511,T2-3,heating rate,"{""HasQuantity"": ""T1-3""}"
7,S1359645413009816-2243,3,MeasuredEntity,296,314,T3-3,microscopy samples,"{""HasProperty"": ""T2-3""}"
8,S1359645413009816-2243,3,Qualifier,409,417,T4-3,annealed,"{""Qualifies"": ""T3-3""}"
9,S1359645413009816-2243,4,Quantity,586,600,T1-4,about 30 K/min,"{""mods"": [""IsApproximate""], ""unit"": ""K/min""}"
10,S1359645413009816-2243,4,MeasuredProperty,536,582,T2-4,rapid cooling to ambient temperature at a rate,"{""HasQuantity"": ""T1-4""}"
11,S1359645413009816-2243,4,MeasuredEntity,296,314,T3-4,microscopy samples,"{""HasProperty"": ""T2-4""}"
12,S1359645413009816-2243,4,Qualifier,409,417,T5-4,annealed,"{""Qualifies"": ""T3-4""}"
0,S0019103512003995-2737,1,Quantity,110,114,T1-1,5–10,"{""mods"": [""IsRange""]}"
1,S0019103512003995-2737,1,MeasuredProperty,115,123,T2-1,stronger,"{""HasQuantity"": ""T1-1""}"
2,S0019103512003995-2737,1,MeasuredEntity,29,91,T3-1,"stellar XUV flux, or the corresponding alternative heat source","{""HasProperty"": ""T2-1""}"
3,S0019103512003995-2737,1,Qualifier,124,151,T4-1,than the average solar flux,"{""Qualifies"": ""T2-1""}"
4,S0019103512003995-2737,2,Quantity,182,205,T1-2,between 8000 and 9000 K,"{""mods"": [""IsRange""], ""unit"": ""K""}"
5,S0019103512003995-2737,2,MeasuredEntity,165,181,T3-2,mean temperature,"{""HasQuantity"": ""T1-2""}"
6,S0019103512003995-2737,3,Quantity,812,827,T1-3,109–1010 kg s−1,"{""mods"": [""IsRange""], ""unit"": ""kg s−1""}"
7,S0019103512003995-2737,3,MeasuredProperty,798,808,T3-3,loss rates,"{""HasQuantity"": ""T1-3""}"
8,S0019103512003995-2737,3,MeasuredEntity,793,797,T4-3,mass,"{""HasProperty"": ""T3-3""}"
9,S0019103512003995-2737,4,Quantity,848,855,T1-4,10–100%,"{""mods"": [""IsRange""], ""unit"": ""%""}"
10,S0019103512003995-2737,4,MeasuredProperty,840,844,T4-4,loss,"{""HasQuantity"": ""T1-4""}"
11,S0019103512003995-2737,4,MeasuredEntity,863,876,T3-4,planet’s mass,"{""HasProperty"": ""T4-4""}"
12,S0019103512003995-2737,4,Qualifier,877,918,T5-4,over the estimated lifetime of the system,"{""Qualifies"": ""T4-4""}"
13,S0019103512003995-2737,5,Quantity,973,992,T1-5,less than ∼10 times,"{""mods"": [""IsApproximate"", ""IsRange""], ""unit"": ""times""}"
14,S0019103512003995-2737,5,MeasuredProperty,956,969,T4-5,energy inputs,"{""HasQuantity"": ""T1-5""}"
15,S0019103512003995-2737,5,MeasuredEntity,997,1023,T3-5,solar average on HD209458b,"{""HasProperty"": ""T4-5""}"
0,S0927024813002961-1334,1,Quantity,331,343,T1-1,less than 5%,"{""mods"": [""IsRange""], ""unit"": ""%""}"
1,S0927024813002961-1334,1,MeasuredEntity,303,327,T2-1,annual energy prediction,"{""HasQuantity"": ""T1-1""}"
2,S0927024813002961-1334,2,Quantity,816,828,T1-2,650–750 W/m2,"{""mods"": [""IsRange""], ""unit"": ""W/m2""}"
3,S0927024813002961-1334,2,MeasuredProperty,796,812,T3-2,irradiance range,"{""HasQuantity"": ""T1-2""}"
4,S0927024813002961-1334,2,MeasuredEntity,778,785,T4-2,devices,"{""HasProperty"": ""T3-2""}"
5,S0927024813002961-1334,3,Quantity,866,874,T1-3,700 W/m2,"{""unit"": ""W/m2""}"
6,S0927024813002961-1334,3,MeasuredProperty,796,806,T5-3,irradiance,"{""HasQuantity"": ""T1-3""}"
7,S0927024813002961-1334,3,MeasuredEntity,778,785,T3-3,devices,"{""HasProperty"": ""T5-3""}"
8,S0927024813002961-1334,3,Qualifier,853,862,T4-3,corrected,"{""Qualifies"": ""T1-3""}"
9,S0927024813002961-1334,4,Quantity,879,884,T1-4,25 °C,"{""unit"": ""°C""}"
10,S0927024813002961-1334,4,MeasuredEntity,778,785,T3-4,devices,"{""HasQuantity"": ""T1-4""}"
11,S0927024813002961-1334,4,Qualifier,853,862,T4-4,corrected,"{""Qualifies"": ""T1-4""}"
0,S2211124713006475-1205,1,Quantity,663,670,T1-1,4 weeks,"{""unit"": ""weeks""}"
1,S2211124713006475-1205,1,MeasuredEntity,641,662,T2-1,Histological analysis,"{""HasQuantity"": ""T1-1""}"
2,S2211124713006475-1205,1,Qualifier,671,692,T4-1,after transplantation,"{""Qualifies"": ""T1-1""}"
3,S2211124713006475-1205,2,Quantity,906,907,T1-2,6,
4,S2211124713006475-1205,2,MeasuredProperty,902,903,T2-2,n,"{""HasQuantity"": ""T1-2""}"
5,S2211124713006475-1205,2,MeasuredEntity,840,900,T3-2,GFP+ fibers showed extensive projections into the host brain,"{""HasProperty"": ""T2-2""}"
0,S0019103513005058-4175,1,Quantity,141,153,T1-1,1.0–1.7 wt.%,"{""mods"": [""IsRange""], ""unit"": ""wt.%""}"
1,S0019103513005058-4175,1,MeasuredProperty,154,157,T3-1,SO4,"{""HasQuantity"": ""T1-1""}"
2,S0019103513005058-4175,1,MeasuredEntity,354,365,T4-1,global soil,"{""HasProperty"": ""T3-1""}"
3,S0019103513005058-4175,2,Quantity,178,186,T1-2,1.3 wt.%,"{""unit"": ""wt.%""}"
4,S0019103513005058-4175,2,MeasuredProperty,187,202,T3-2,soluble sulfate,"{""HasQuantity"": ""T1-2""}"
5,S0019103513005058-4175,2,MeasuredEntity,361,365,T4-2,soil,"{""HasProperty"": ""T3-2""}"
6,S0019103513005058-4175,2,Qualifier,219,239,T5-2,Phoenix landing site,"{""Qualifies"": ""T4-2""}"
7,S0019103513005058-4175,3,Quantity,306,323,T1-3,average ∼6.8 wt.%,"{""mods"": [""IsApproximate"", ""IsMean""], ""unit"": ""wt.%""}"
8,S0019103513005058-4175,3,MeasuredProperty,334,337,T3-3,SO3,"{""HasQuantity"": ""T1-3""}"
9,S0019103513005058-4175,3,MeasuredEntity,354,365,T4-3,global soil,"{""HasProperty"": ""T3-3""}"
10,S0019103513005058-4175,3,Qualifier,366,493,T5-3,"inferred from elemental abundances measured at various locations on Mars by Spirit, Opportunity, Pathfinder, and Viking Landers","{""Qualifies"": ""T3-3""}"
11,S0019103513005058-4175,4,Quantity,339,347,T1-4,2.7 wt.%,"{""unit"": ""wt.%""}"
12,S0019103513005058-4175,4,MeasuredProperty,348,349,T3-4,S,"{""HasQuantity"": ""T1-4""}"
13,S0019103513005058-4175,4,MeasuredEntity,354,365,T4-4,global soil,"{""HasProperty"": ""T3-4""}"
14,S0019103513005058-4175,4,Qualifier,366,493,T5-4,"inferred from elemental abundances measured at various locations on Mars by Spirit, Opportunity, Pathfinder, and Viking Landers","{""Qualifies"": ""T3-4""}"
15,S0019103513005058-4175,5,Quantity,549,576,T1-5,top few tens of centimeters,"{""mods"": [""IsApproximate"", ""IsRange""], ""unit"": ""centimeters""}"
16,S0019103513005058-4175,5,MeasuredEntity,584,588,T3-5,soil,"{""HasQuantity"": ""T1-5""}"
17,S0019103513005058-4175,6,Quantity,592,601,T1-6,∼4.4 wt.%,"{""mods"": [""IsApproximate"", ""IsMean""], ""unit"": ""wt.%""}"
18,S0019103513005058-4175,6,MeasuredProperty,519,541,T3-6,average sulfur content,"{""HasQuantity"": ""T1-6""}"
19,S0019103513005058-4175,6,MeasuredEntity,584,588,T4-6,soil,"{""HasProperty"": ""T3-6""}"
20,S0019103513005058-4175,7,Quantity,737,741,T1-7,0.1%,"{""unit"": ""%""}"
21,S0019103513005058-4175,7,MeasuredEntity,749,778,T3-7,terrestrial volcanic gas flux,"{""HasQuantity"": ""T1-7""}"
0,S0960148113004989-3203,1,Quantity,438,444,T1-1,10 min,"{""unit"": ""min""}"
1,S0960148113004989-3203,1,MeasuredProperty,434,435,T3-1,P,"{""HasQuantity"": ""T1-1""}"
2,S0960148113004989-3203,1,MeasuredEntity,403,415,T2-1,tidal period,"{""HasProperty"": ""T3-1""}"
3,S0960148113004989-3203,2,Quantity,481,487,T1-2,±12 m.,"{""mods"": [""HasTolerance""], ""unit"": ""m""}"
4,S0960148113004989-3203,2,MeasuredEntity,466,477,T3-2,tidal range,"{""HasQuantity"": ""T1-2""}"
5,S0960148113004989-3203,3,Quantity,566,570,T1-3,12 s,"{""unit"": ""s""}"
6,S0960148113004989-3203,3,MeasuredProperty,548,563,T2-3,time step of Δt,"{""HasQuantity"": ""T1-3""}"
7,S0960148113004989-3203,3,MeasuredEntity,492,507,T4-3,simulation time,"{""HasProperty"": ""T2-3""}"
0,S1359645413009816-2973,1,Quantity,1020,1038,T3-1,(0.28–0.42)×10-10m,"{""mods"": [""IsRange""], ""unit"": ""m""}"
1,S1359645413009816-2973,1,MeasuredProperty,1016,1019,T2-1,eGB,"{""HasQuantity"": ""T3-1""}"
2,S1359645413009816-2973,1,MeasuredEntity,978,1014,T1-1,molecular dynamics simulations on Ni,"{""HasProperty"": ""T2-1""}"
3,S1359645413009816-2973,1,Qualifier,1043,1077,T5-1,random high-angle grain boundaries,"{""Qualifies"": ""T2-1""}"
4,S1359645413009816-2973,2,Quantity,1091,1109,T3-2,(0.39–0.41)×10-10m,"{""mods"": [""IsRange""], ""unit"": ""m""}"
5,S1359645413009816-2973,2,MeasuredProperty,1087,1090,T2-2,eGB,"{""HasQuantity"": ""T3-2""}"
6,S1359645413009816-2973,2,MeasuredEntity,978,1014,T1-2,molecular dynamics simulations on Ni,"{""HasProperty"": ""T2-2""}"
7,S1359645413009816-2973,2,Qualifier,1110,1149,T5-2,(at T = 1200 K) for Σ5 grain boundaries,"{""Qualifies"": ""T2-2""}"
8,S1359645413009816-2973,3,Quantity,1118,1124,T1-3,1200 K,"{""unit"": ""K""}"
9,S1359645413009816-2973,3,MeasuredProperty,1114,1115,T3-3,T,"{""HasQuantity"": ""T1-3""}"
10,S1359645413009816-2973,3,MeasuredEntity,978,1014,T2-3,molecular dynamics simulations on Ni,"{""HasProperty"": ""T3-3""}"
0,S0025322712001600-2230,1,Quantity,68,71,T1-1,two,"{""mods"": [""IsCount""]}"
1,S0025322712001600-2230,1,MeasuredEntity,72,84,T2-1,marine cores,"{""HasQuantity"": ""T1-1""}"
2,S0025322712001600-2230,2,Quantity,286,300,T1-2,last 200 years,"{""mods"": [""IsRange""], ""unit"": ""years""}"
3,S0025322712001600-2230,2,MeasuredEntity,265,278,T2-2,sedimentation,"{""HasQuantity"": ""T1-2""}"
0,S0016236113008041-2924,1,Quantity,57,65,T1-1,9 and 21,"{""mods"": [""IsCount""]}"
1,S0016236113008041-2924,1,MeasuredEntity,66,80,T2-1,trace elements,"{""HasQuantity"": ""T1-1""}"
0,S0167610512002292-3305,1,Quantity,17,22,T1-1,three,"{""mods"": [""IsCount""]}"
1,S0167610512002292-3305,1,MeasuredEntity,23,44,T2-1,different simulations,"{""HasQuantity"": ""T1-1""}"
2,S0167610512002292-3305,2,Quantity,75,81,T1-2,1.0 kg,"{""unit"": ""kg""}"
3,S0167610512002292-3305,2,MeasuredEntity,82,87,T3-2,plate,"{""HasQuantity"": ""T1-2""}"
4,S0167610512002292-3305,3,Quantity,105,112,T1-3,6.35 kg,"{""unit"": ""kg""}"
5,S0167610512002292-3305,3,MeasuredEntity,113,118,T2-3,plate,"{""HasQuantity"": ""T1-3""}"
6,S0167610512002292-3305,4,Quantity,172,177,T1-4,12 kg,"{""unit"": ""kg""}"
7,S0167610512002292-3305,4,MeasuredEntity,178,183,T2-4,plate,"{""HasQuantity"": ""T1-4""}"
8,S0167610512002292-3305,5,Quantity,358,364,T1-5,35 m/s,"{""unit"": ""m/s""}"
9,S0167610512002292-3305,5,MeasuredProperty,344,354,T2-5,wind speed,"{""HasQuantity"": ""T1-5""}"
10,S0167610512002292-3305,5,MeasuredEntity,309,325,T4-5,inflow condition,"{""HasProperty"": ""T2-5""}"
11,S0167610512002292-3305,6,Quantity,366,374,T1-6,126 km/h,"{""unit"": ""km/h""}"
12,S0167610512002292-3305,6,MeasuredProperty,344,354,T3-6,wind speed,"{""HasQuantity"": ""T1-6""}"
13,S0167610512002292-3305,6,MeasuredEntity,309,325,T4-6,inflow condition,"{""HasProperty"": ""T3-6""}"
0,S1389128612002496-6119,1,Quantity,205,225,T1-1,from 10 ms to 0.1 ms,"{""mods"": [""IsRange""], ""unit"": ""ms""}"
1,S1389128612002496-6119,1,MeasuredEntity,191,193,T4-1,Tb,"{""HasQuantity"": ""T1-1""}"
2,S1389128612002496-6119,1,Qualifier,194,203,T5-1,decreases,"{""Qualifies"": ""T1-1""}"
3,S1389128612002496-6119,2,Quantity,320,333,T1-2,around 0.5 ms,"{""mods"": [""IsApproximate""], ""unit"": ""ms""}"
4,S1389128612002496-6119,2,MeasuredEntity,314,316,T3-2,Tb,"{""HasQuantity"": ""T1-2""}"
0,S0168945213001805-4775,1,Quantity,188,191,T1-1,two,"{""mods"": [""IsCount""]}"
1,S0168945213001805-4775,1,MeasuredEntity,192,280,T2-1,endogenous cold-binding factor/drought responsive element binding (CBF/DREB)1-like genes,"{""HasQuantity"": ""T1-1""}"
2,S0168945213001805-4775,2,Quantity,536,539,T1-2,two,"{""mods"": [""IsCount""]}"
3,S0168945213001805-4775,2,MeasuredEntity,540,554,T2-2,CBF/DREB genes,"{""HasQuantity"": ""T1-2""}"
4,S0168945213001805-4775,3,Quantity,628,642,T1-3,down to −18 °C,"{""mods"": [""IsRange""], ""unit"": ""°C""}"
5,S0168945213001805-4775,3,MeasuredProperty,598,627,T2-3,withstand winter temperatures,"{""HasQuantity"": ""T1-3""}"
6,S0168945213001805-4775,3,MeasuredEntity,560,577,T4-3,Eucalyptus gunnii,"{""HasProperty"": ""T2-3""}"
7,S0168945213001805-4775,4,Quantity,905,910,T1-4,−8 °C,"{""unit"": ""°C""}"
8,S0168945213001805-4775,4,MeasuredProperty,885,901,T2-4,stable tolerance,"{""HasQuantity"": ""T1-4""}"
9,S0168945213001805-4775,4,MeasuredEntity,757,871,T3-4,Tropical E. grandis × E. urophylla expressing a stress-inducible rd29a promoter-CBF2 transcription factor cassette,"{""HasProperty"": ""T2-4""}"
0,S2213671113000738-435,1,Quantity,108,109,T1-1,3,
1,S2213671113000738-435,1,MeasuredProperty,104,105,T3-1,n,"{""HasQuantity"": ""T1-1""}"
2,S2213671113000738-435,1,MeasuredEntity,70,74,T2-1,Data,"{""HasProperty"": ""T3-1""}"
3,S2213671113000738-435,2,Quantity,194,200,T1-2,200 μm,"{""unit"": ""μm""}"
4,S2213671113000738-435,2,MeasuredProperty,182,192,T3-2,Scale bars,"{""HasQuantity"": ""T1-2""}"
5,S2213671113000738-435,2,MeasuredEntity,204,211,T4-2,(A)–(H),"{""HasProperty"": ""T3-2""}"
6,S2213671113000738-435,3,Quantity,213,218,T1-3,50 μm,"{""unit"": ""μm""}"
7,S2213671113000738-435,3,MeasuredProperty,182,192,T5-3,Scale bars,"{""HasQuantity"": ""T1-3""}"
8,S2213671113000738-435,3,MeasuredEntity,232,239,T4-3,(C)–(F),"{""HasProperty"": ""T5-3""}"
9,S2213671113000738-435,3,Qualifier,222,228,T3-3,insets,"{""Qualifies"": ""T4-3""}"
10,S2213671113000738-435,4,Quantity,241,247,T1-4,100 μm,"{""unit"": ""μm""}"
11,S2213671113000738-435,4,MeasuredProperty,182,192,T4-4,Scale bars,"{""HasQuantity"": ""T1-4""}"
12,S2213671113000738-435,4,MeasuredEntity,251,266,T3-4,(J)–(M) and (Q),"{""HasProperty"": ""T4-4""}"
0,S0012821X12004384-1232,1,Quantity,28,36,T11-1,>0.5 km),"{""mods"": [""IsRange""], ""unit"": ""km""}"
1,S0012821X12004384-1232,1,MeasuredProperty,22,26,T51-1,deep,"{""HasQuantity"": ""T11-1""}"
2,S0012821X12004384-1232,1,MeasuredEntity,37,62,T41-1,central part of the basin,"{""HasProperty"": ""T51-1""}"
3,S0012821X12004384-1232,2,Quantity,338,344,T22-2,<10 cm,"{""mods"": [""IsRange""], ""unit"": ""cm""}"
4,S0012821X12004384-1232,2,MeasuredProperty,301,305,T72-2,thin,"{""HasQuantity"": ""T22-2""}"
5,S0012821X12004384-1232,2,MeasuredEntity,306,326,T62-2,turbidite sandstones,"{""HasProperty"": ""T72-2""}"
6,S0012821X12004384-1232,3,Quantity,515,536,T33-3,in the order of 100 m,"{""mods"": [""IsApproximate""], ""unit"": ""m""}"
7,S0012821X12004384-1232,3,MeasuredProperty,507,514,T83-3,fall in,"{""HasQuantity"": ""T33-3""}"
8,S0012821X12004384-1232,3,MeasuredEntity,471,476,T93-3,basin,"{""HasProperty"": ""T83-3""}"
0,S2213671113000921-1279,1,Quantity,278,294,T1-1,greater than 70%,"{""mods"": [""IsRange""], ""unit"": ""%""}"
1,S2213671113000921-1279,1,MeasuredProperty,252,272,T2-1,gene targeting rates,"{""HasQuantity"": ""T1-1""}"
2,S2213671113000921-1279,1,MeasuredEntity,187,191,T4-1,SOX2,"{""HasProperty"": ""T2-1""}"
0,S0925443913003037-1397,1,Quantity,352,369,T1-1,approximately 54%,"{""mods"": [""IsApproximate""], ""unit"": ""%""}"
1,S0925443913003037-1397,1,MeasuredProperty,387,392,T4-1,level,"{""HasQuantity"": ""T1-1""}"
2,S0925443913003037-1397,1,MeasuredEntity,396,406,T5-1,mt-tRNAPhe,"{""HasProperty"": ""T4-1""}"
3,S0925443913003037-1397,1,Qualifier,370,379,T3-1,reduction,"{""Qualifies"": ""T4-1""}"
0,S2213671113000908-979,1,Quantity,398,403,T1-1,12 hr,"{""unit"": ""hr""}"
1,S2213671113000908-979,1,MeasuredProperty,379,397,T4-1,visually inspected,"{""HasQuantity"": ""T1-1""}"
2,S2213671113000908-979,1,MeasuredEntity,368,373,T3-1,Wells,"{""HasProperty"": ""T4-1""}"
3,S2213671113000908-979,1,Qualifier,404,417,T5-1,after plating,"{""Qualifies"": ""T1-1""}"
0,S175058361300203X-1556,1,Quantity,65,70,T1-1,34 °C,"{""unit"": ""°C""}"
1,S175058361300203X-1556,1,MeasuredEntity,81,87,T3-1,option,"{""HasQuantity"": ""T1-1""}"
2,S175058361300203X-1556,2,Quantity,75,80,T1-2,38 °C,"{""unit"": ""°C""}"
3,S175058361300203X-1556,2,MeasuredEntity,81,87,T3-2,option,"{""HasQuantity"": ""T1-2""}"
4,S175058361300203X-1556,3,Quantity,628,633,T1-3,38 °C,"{""unit"": ""°C""}"
5,S175058361300203X-1556,3,MeasuredEntity,644,652,T3-3,scenario,"{""HasQuantity"": ""T1-3""}"
6,S175058361300203X-1556,4,Quantity,638,643,T1-4,34 °C,"{""unit"": ""°C""}"
7,S175058361300203X-1556,4,MeasuredEntity,644,652,T3-4,scenario,"{""HasQuantity"": ""T1-4""}"
8,S175058361300203X-1556,5,Quantity,668,680,T1-5,less than 1%,"{""mods"": [""IsRange""], ""unit"": ""%""}"
9,S175058361300203X-1556,5,MeasuredProperty,586,653,T2-5,Seismic amplitude differences between the 38 °C and 34 °C scenarios,"{""HasQuantity"": ""T1-5""}"
10,S175058361300203X-1556,5,MeasuredEntity,688,720,T4-5,amplitude values of the baseline,"{""HasProperty"": ""T2-5""}"
11,S175058361300203X-1556,6,Quantity,818,834,T1-6,greater than 10%,"{""mods"": [""IsRange""], ""unit"": ""%""}"
12,S175058361300203X-1556,6,MeasuredEntity,741,787,T2-6,normalized root mean square (NRMS) differences,"{""HasQuantity"": ""T1-6""}"
0,S0019103512003995-1767,1,Quantity,240,247,T1-1,1083 nm,"{""unit"": ""nm""}"
1,S0019103512003995-1767,1,MeasuredProperty,248,252,T4-1,line,"{""HasQuantity"": ""T1-1""}"
2,S0019103512003995-1767,1,MeasuredEntity,237,239,T3-1,He,"{""HasProperty"": ""T4-1""}"
0,S0167610513001001-1751,1,Quantity,161,168,T1-1,1 m s−1,"{""unit"": ""m s−1""}"
1,S0167610513001001-1751,1,MeasuredEntity,153,157,T3-1,bins,"{""HasQuantity"": ""T1-1""}"
2,S0167610513001001-1751,2,Quantity,266,269,T1-2,two,"{""mods"": [""IsCount""]}"
3,S0167610513001001-1751,2,MeasuredEntity,270,281,T2-2,instruments,"{""HasQuantity"": ""T1-2""}"
4,S0167610513001001-1751,3,Quantity,355,378,T1-3,between 0 and 0.5 m s−1,"{""mods"": [""IsRange""], ""unit"": ""m s−1""}"
5,S0167610513001001-1751,3,MeasuredProperty,346,351,T4-3,speed,"{""HasQuantity"": ""T1-3""}"
6,S0167610513001001-1751,3,MeasuredEntity,341,345,T3-3,wind,"{""HasProperty"": ""T4-3""}"
7,S0167610513001001-1751,4,Quantity,395,416,T1-4,greater than 20 m s−1,"{""mods"": [""IsRange""], ""unit"": ""m s−1""}"
8,S0167610513001001-1751,4,MeasuredProperty,388,394,T4-4,speeds,"{""HasQuantity"": ""T1-4""}"
9,S0167610513001001-1751,4,MeasuredEntity,383,387,T3-4,wind,"{""HasProperty"": ""T4-4""}"
0,S0019103512004009-4350,1,Quantity,515,522,T1-1,∼1000 K,"{""mods"": [""IsApproximate""], ""unit"": ""K""}"
1,S0019103512004009-4350,1,MeasuredProperty,466,485,T2-1,maximum temperature,"{""HasQuantity"": ""T1-1""}"
2,S0019103512004009-4350,1,MeasuredEntity,493,501,T3-1,C3 model,"{""HasProperty"": ""T2-1""}"
3,S0019103512004009-4350,1,Qualifier,505,514,T4-1,cooler by,"{""Qualifies"": ""T2-1""}"
4,S0019103512004009-4350,1,Qualifier,436,460,T6-1,Compared to the C1 model,"{""Qualifies"": ""T3-1""}"
5,S0019103512004009-4350,2,Quantity,571,582,T1-2,1000–2000 K,"{""mods"": [""IsRange""], ""unit"": ""K""}"
6,S0019103512004009-4350,2,MeasuredProperty,466,485,T7-2,maximum temperature,"{""HasQuantity"": ""T1-2""}"
7,S0019103512004009-4350,2,MeasuredEntity,549,557,T2-2,C3 model,"{""HasProperty"": ""T7-2""}"
8,S0019103512004009-4350,2,Qualifier,530,544,T3-2,high altitudes,"{""Qualifies"": ""T2-2""}"
9,S0019103512004009-4350,2,Qualifier,561,570,T4-2,cooler by,"{""Qualifies"": ""T1-2""}"
10,S0019103512004009-4350,2,Qualifier,436,460,T5-2,Compared to the C1 model,"{""Qualifies"": ""T7-2""}"
0,S0019103512003995-1283,1,Quantity,149,155,T1-1,7200 K,"{""mods"": [""IsMean""], ""unit"": ""K""}"
1,S0019103512003995-1283,1,MeasuredProperty,129,145,T3-1,mean temperature,"{""HasQuantity"": ""T1-1""}"
2,S0019103512003995-1283,1,MeasuredEntity,99,121,T2-1,empirical model of K10,"{""HasProperty"": ""T3-1""}"
0,S0019103513005058-4158,1,Quantity,684,687,T1-1,1/e,
1,S0019103513005058-4158,2,Quantity,704,716,T1-2,0.51–0.85 m.,"{""mods"": [""IsRange""], ""unit"": ""m""}"
2,S0019103513005058-4158,2,MeasuredProperty,684,700,T3-2,1/e mixing depth,"{""HasQuantity"": ""T1-2""}"
3,S0019103513005058-4158,2,MeasuredEntity,639,678,T2-2,impactors have churned the soil on Mars,"{""HasProperty"": ""T3-2""}"
4,S0019103513005058-4158,3,Quantity,724,729,T1-3,three,"{""mods"": [""IsCount""]}"
5,S0019103513005058-4158,3,MeasuredEntity,730,746,T2-3,e-folding depths,"{""HasQuantity"": ""T1-3""}"
6,S0019103513005058-4158,4,Quantity,767,776,T1-4,1.5–2.6 m,"{""mods"": [""IsRange""], ""unit"": ""m""}"
7,S0019103513005058-4158,4,MeasuredProperty,777,782,T4-4,depth,"{""HasQuantity"": ""T1-4""}"
8,S0019103513005058-4158,4,MeasuredEntity,724,746,T3-4,three e-folding depths,"{""HasProperty"": ""T4-4""}"
9,S0019103513005058-4158,5,Quantity,796,801,T1-5,∼2 m.,"{""mods"": [""IsMean"", ""IsApproximate""], ""unit"": ""m""}"
10,S0019103513005058-4158,5,MeasuredProperty,777,782,T3-5,depth,"{""HasQuantity"": ""T1-5""}"
11,S0019103513005058-4158,5,MeasuredEntity,724,746,T2-5,three e-folding depths,"{""HasProperty"": ""T3-5""}"
12,S0019103513005058-4158,5,Qualifier,791,795,T4-5,mean,"{""Qualifies"": ""T1-5""}"
13,S0019103513005058-4158,6,Quantity,858,866,T1-6,1 g cm−3,"{""unit"": ""g cm−3""}"
14,S0019103513005058-4158,6,MeasuredProperty,847,854,T4-6,density,"{""HasQuantity"": ""T1-6""}"
15,S0019103513005058-4158,6,MeasuredEntity,842,846,T3-6,soil,"{""HasProperty"": ""T4-6""}"
0,S0016236113008041-3161,1,Quantity,50,56,T1-1,4.5 kg,"{""unit"": ""kg""}"
1,S0016236113008041-3161,1,MeasuredEntity,26,46,T2-1,lowest bed inventory,"{""HasQuantity"": ""T1-1""}"
2,S0016236113008041-3161,2,Quantity,439,455,T1-2,4.5 kg and 13 kg,"{""unit"": ""kg""}"
3,S0016236113008041-3161,2,MeasuredEntity,420,435,T3-2,bed inventories,"{""HasQuantity"": ""T1-2""}"
4,S0016236113008041-3161,3,Quantity,484,488,T1-3,6 kg,"{""unit"": ""kg""}"
5,S0016236113008041-3161,3,MeasuredEntity,489,498,T2-3,inventory,"{""HasQuantity"": ""T1-3""}"
6,S0016236113008041-3161,4,Quantity,536,545,T1-4,<0.01 ppm,"{""mods"": [""IsRange""], ""unit"": ""ppm""}"
7,S0016236113008041-3161,4,MeasuredProperty,513,519,T4-4,values,"{""HasQuantity"": ""T1-4""}"
8,S0016236113008041-3161,4,MeasuredEntity,363,364,T3-4,P,"{""HasProperty"": ""T4-4""}"
9,S0016236113008041-3161,4,Qualifier,71,100,T5-4,concentration in the flue gas,"{""Qualifies"": ""T4-4""}"
10,S0016236113008041-3161,5,Quantity,667,673,T1-5,<2 ppm,"{""mods"": [""IsRange""], ""unit"": ""ppm""}"
11,S0016236113008041-3161,5,MeasuredProperty,623,637,T2-5,concentrations,"{""HasQuantity"": ""T1-5""}"
12,S0016236113008041-3161,5,MeasuredEntity,645,653,T3-5,flue gas,"{""HasProperty"": ""T2-5""}"
0,S0927024813001955-1005,1,Quantity,623,629,T1-1,150 °C,"{""unit"": ""°C""}"
