,document_name,sentence,potential_measurements,noun_phrases
166,S0012821X12004384-1284.txt,Any calcites (shelly fragments) were removed by placing the samples in 5% HCl overnight before rinsing and drying down.,"[['PERCENT', 212, 214], ['TIME', 215, 216]]","[['Any calcites', 199, 201], ['(shelly fragments', 201, 204], ['the samples', 209, 211], ['5% HCl', 212, 215]]"
167,S0012821X12004384-1284.txt,Carbon isotope analysis was also carried out on palynology residues of the >250 μm size fractions dominated by AOM.,"[['ORG', 241, 242]]","[['Carbon', 222, 223], ['analysis', 224, 225], ['palynology residues', 230, 232], ['the >250 μm size fractions', 233, 239], ['AOM', 241, 242]]"
168,S0012821X12004384-1284.txt,"13C/12C analyses were performed on 35 samples by combustion in a Costech Elemental Analyser (EA) online to a VG TripleTrap and Optima dual-inlet mass spectrometer, with δ13C values calculated to the VPDB scale using a within-run laboratory standards calibrated against NBS-18, NBS-19, and NBS-22.","[['CARDINAL', 243, 244], ['CARDINAL', 248, 249], ['ORG', 254, 257], ['ORG', 258, 259], ['PERSON', 266, 267]]","[['13C/12C analyses', 243, 245], ['35 samples', 248, 250], ['combustion', 251, 252], ['a Costech Elemental Analyser', 253, 257], ['EA', 258, 259], ['a VG TripleTrap', 262, 265], ['Optima', 266, 267], ['dual-inlet mass spectrometer', 267, 272], ['δ13C values', 274, 276], ['the VPDB scale', 278, 281], ['-run', 284, 286], ['NBS-18', 290, 291], ['NBS-19', 292, 293], ['NBS-22', 295, 296]]"
169,S0012821X12004384-1284.txt,"Replicate 13C/12C analyses were carried out on the section, and the mean standard deviation on the replicate analyses is 0.4‰.","[['CARDINAL', 298, 299], ['CARDINAL', 317, 318]]","[['Replicate 13C/12C analyses', 297, 300], ['the section', 304, 306], ['the mean standard deviation', 308, 312], ['the replicate analyses', 313, 316], ['0.4‰.', 317, 318]]"
170,S0168945213001805-5014.txt,"The individual crystalline δ-endotoxins produced by Bt strains are poisonous to specific orders of Insecta (lepidopterans, dipterans, coleopterans, hymenopterans) and nematodes [163].","[['PERSON', 46, 47], ['CARDINAL', 59, 60]]","[['The individual crystalline', 30, 33], ['δ-endotoxins', 33, 36], ['Bt strains', 38, 40], ['specific orders', 43, 45], ['Insecta', 46, 47], ['lepidopterans', 48, 49], ['dipterans', 50, 51], ['coleopterans', 52, 53], ['hymenopterans', 54, 55], ['nematodes', 57, 58]]"
171,S0032063312003054-2467.txt,"Even after discounting upward net flux of electrons from those signatures with isotropic electron energy distribution, category-4 still make up the second largest group and when added together with category-2 occur on 10% of MEX orbits.","[['ORDINAL', 112, 113], ['PERCENT', 123, 125], ['ORG', 126, 127]]","[['upward net flux', 93, 96], ['electrons', 97, 98], ['those signatures', 99, 101], ['isotropic electron energy distribution', 102, 106], ['category-4', 107, 108], ['the second largest group', 111, 115], ['category-2', 120, 121], ['10%', 123, 125], ['MEX orbits', 126, 128]]"
172,S0960148113004989-3203.txt,"Therefore, the tidal period was defined to be P ≡ 10 min, which resulted in a tidal range of ±12 m. The simulation time was set to one full tidal period with a time step of Δt =","[['CARDINAL', 84, 85]]","[['the tidal period', 75, 78], ['P ≡ 10 min', 82, 86], ['a tidal range', 90, 93], ['±12 m.', 94, 96], ['The simulation time', 96, 99], ['one full tidal period', 102, 106], ['a time step', 107, 110], ['Δt', 111, 112]]"
173,S0960148113004989-3203.txt,12 s.,"[['CARDINAL', 113, 114]]",[]
174,S0006322312001096-1194.txt,Age- and sex-adjusted odds ratio for 10% increment in risk was 2.84 (95% confidence interval [CI] 1.66–4.88) for the stroke risk score-incident stroke association and 2.25 (95% CI 1.92–2.65) for the CHD risk score-incident CHD association.,"[['PERCENT', 39, 41], ['CARDINAL', 45, 46], ['PERCENT', 47, 49], ['CARDINAL', 66, 67], ['PERCENT', 68, 70], ['CARDINAL', 71, 72], ['ORG', 75, 76], ['ORG', 80, 81]]","[['Age-', 31, 32], ['sex-adjusted odds ratio', 33, 38], ['10% increment', 39, 42], ['risk', 43, 44], ['2.84 (95% confidence interval', 45, 51], ['CI', 52, 53], ['the stroke risk score-incident stroke association', 57, 65], ['95%', 68, 70], ['CI', 70, 71], ['the CHD risk score-incident CHD association', 74, 82]]"
175,S0006322312001096-1194.txt,"The corresponding odds ratios for the associations of CVD risk score with stroke and CHD were 1.34 (95% CI 1.11–1.62) and 2.14 (95% CI 1.85–2.48), respectively.","[['ORG', 91, 92], ['ORG', 97, 98], ['CARDINAL', 99, 100], ['PERCENT', 101, 103], ['CARDINAL', 107, 108], ['PERCENT', 109, 111], ['CARDINAL', 112, 113]]","[['The corresponding odds ratios', 83, 87], ['the associations', 88, 90], ['CVD risk score', 91, 94], ['stroke', 95, 96], ['CHD', 97, 98], ['1.34 (95%', 99, 103], ['(95%', 108, 111], ['CI', 111, 112]]"
176,S0038071712001010-918.txt,AM fungal inoculum as a single factor was significant (P < 0.001) with distinct species combinations resulting in different levels of root colonisation.,[],"[['AM fungal inoculum', 0, 3], ['a single factor', 4, 7], ['distinct species combinations', 15, 18], ['different levels', 20, 22], ['root colonisation', 23, 25]]"
177,S0038071712001010-918.txt,"The individual inocula resulted in similar levels of colonisation (9.9%–16.2%; LSD = 7.01) irrespective of species, therefore valid comparisons with and between the mixed species could be made.","[['PERCENT', 36, 38], ['CARDINAL', 41, 42]]","[['The individual inocula', 26, 29], ['similar levels', 31, 33], ['colonisation', 34, 35], ['LSD', 39, 40], ['species', 45, 46], ['therefore valid comparisons', 47, 50], ['the mixed species', 53, 56]]"
178,S0038071712001010-918.txt,"The highest percentage colonisation was observed in the two-species mixture of G. geosporum plus G. mosseae (25.4%), followed by the combination of all three species (23.8%).","[['CARDINAL', 68, 69], ['ORG', 73, 74], ['PERCENT', 79, 81], ['CARDINAL', 89, 90], ['PERCENT', 92, 94]]","[['The highest percentage colonisation', 60, 64], ['the two-species mixture', 67, 72], ['G. geosporum', 73, 75], ['G. mosseae', 76, 78], ['25.4%', 79, 81], ['the combination', 85, 87], ['all three species', 88, 91], ['23.8%', 92, 94]]"
179,S0038071712001010-918.txt,"Percentage colonisation by G. geosporum plus G. mosseae in combination appeared to be additive relative to that observed by the species individually (16.2%, G. geosporum; 9.9% G. mosseae).","[['ORG', 99, 100], ['PERCENT', 119, 121], ['PERSON', 122, 123], ['PERCENT', 125, 127]]","[['Percentage colonisation', 96, 98], ['G. geosporum', 99, 101], ['G. mosseae', 102, 104], ['combination', 105, 106], ['the species', 115, 117], ['G. geosporum', 122, 124]]"
180,S0038071712001010-918.txt,"Colonisation was markedly reduced when G. mosseae and G. intraradices were paired (7.5%), particularly compared to the performance of G. intraradices individually (14.2%).","[['PERCENT', 144, 146], ['ORG', 154, 155], ['PERCENT', 158, 160]]","[['Colonisation', 131, 132], ['G. mosseae', 136, 138], ['G. intraradices', 139, 141], ['the performance', 151, 153], ['G.', 154, 155]]"
181,S0032386113009889-2123.txt,The method used has been fully described elsewhere [49] and essentially it proposes that the criterion for debonding is based upon the energy released by the debonding process.,"[['CARDINAL', 23, 24]]","[['The method', 14, 16], ['it', 27, 28], ['the criterion', 30, 32], ['debonding', 33, 34], ['the energy', 37, 39], ['the debonding process', 41, 44]]"
182,S0032386113009889-2123.txt,"Namely, as implied above, the debonding of the silica nanoparticles from the epoxy matrix polymer appears to take place during the elastic deformation region and, as shown in Table 1, the yield stress for all modified epoxy polymers is approximately equal, irrespective of particle size.","[['LAW', 141, 143]]","[['the debonding', 116, 118], ['the silica nanoparticles', 119, 122], ['the epoxy matrix polymer', 123, 127], ['place', 130, 131], ['the elastic deformation region', 132, 136], ['Table', 141, 142], ['the yield stress', 144, 147], ['all modified epoxy polymers', 148, 152], ['particle size', 158, 160]]"
183,S0032386113009889-2123.txt,"It has therefore been assumed that the debonding takes place at an applied uniaxial stress of about 70 MPa, which equates to a hydrostatic stress at the crack tip of about 210 MPa.","[['CARDINAL', 177, 179], ['CARDINAL', 192, 194]]","[['It', 161, 162], ['the debonding', 167, 169], ['place', 170, 171], ['an applied uniaxial stress', 172, 176], ['about 70 MPa', 177, 180], ['a hydrostatic stress', 184, 187], ['the crack tip', 188, 191], ['about 210 MPa', 192, 195]]"
184,S0032386113009889-2123.txt,"Thus, the finite-element analysis simulations were analysed for an applied hydrostatic stress of 210 MPa.","[['CARDINAL', 212, 213]]","[['the finite-element analysis simulations', 198, 204], ['an applied hydrostatic stress', 207, 211], ['210 MPa', 212, 214]]"
185,S175058361300203X-1638.txt,"We studied two cases, one where the injection was performed at 34 °C and the other at 38 °C.","[['CARDINAL', 29, 30], ['CARDINAL', 39, 40], ['CARDINAL', 46, 47]]","[['We', 27, 28], ['two cases', 29, 31], ['the injection', 34, 36], ['34 °C', 39, 42], ['38 °C', 46, 49]]"
186,S175058361300203X-1638.txt,Results from the multiphase fluid flow simulations show that the difference between the two cases is small for the CO2 migration.,"[['CARDINAL', 63, 64]]","[['Results', 50, 51], ['the multiphase fluid flow simulations', 52, 57], ['the difference', 59, 61], ['the two cases', 62, 65], ['the CO2 migration', 68, 71]]"
187,S175058361300203X-1638.txt,"The difference in CO2 density between 34 °C and 38 °C decreases with decreasing pressure and, therefore, with increasing distance from the injection well.","[['DATE', 108, 109]]","[['The difference', 98, 100], ['CO2 density', 101, 103], ['34 °C', 104, 107], ['38 °C', 108, 111], ['decreasing pressure', 113, 115], ['increasing distance', 120, 122], ['the injection', 123, 125]]"
188,S175058361300203X-1638.txt,"Therefore, the modeled time-lapse seismic differences for the two temperature scenarios is minor regarding the qualitative analysis of the 4D seismic data from the Ketzin CO2 storage site (Fig.","[['CARDINAL', 138, 139], ['CARDINAL', 149, 150], ['PERSON', 159, 160]]","[['the modeled time-lapse seismic differences', 129, 136], ['the two temperature scenarios', 137, 141], ['the qualitative analysis', 144, 147], ['the 4D seismic data', 148, 152], ['the Ketzin CO2 storage site', 153, 158], ['Fig', 159, 160]]"
189,S0167880913001229-1021.txt,•SOC stocks decreased by 12.4% in Costa Rica and 0.13% in Nicaragua after establishment of coffee AFS.•SOC stocks increased in the top 10 cm of soil; greater reduction occurred at 20–40 cm.•Organic management caused a greater increase in 0–10 cm SOC but did not influence reduction at depth.•Shade type effects on SOC were smaller; no significant difference between shaded and unshaded coffee.•SOC stocks tend to converge on a level determined by site environment during establishment.,"[['PERSON', 0, 1], ['PERCENT', 4, 6], ['GPE', 7, 9], ['PERCENT', 10, 12], ['GPE', 13, 14], ['ORG', 18, 19], ['QUANTITY', 24, 26], ['CARDINAL', 33, 34], ['QUANTITY', 41, 43], ['ORG', 43, 44]]","[['stocks', 1, 2], ['12.4%', 4, 6], ['Costa Rica', 7, 9], ['Nicaragua', 13, 14], ['establishment', 15, 16], ['coffee', 17, 18], ['AFS.•SOC stocks', 18, 20], ['the top 10 cm', 22, 26], ['soil', 27, 28], ['greater reduction', 29, 31], ['20–40 cm.•Organic management', 33, 36], ['a greater increase', 37, 40], ['0–10 cm SOC', 41, 44], ['reduction', 48, 49], ['depth.•Shade type effects', 50, 53], ['SOC', 54, 55], ['no significant difference', 58, 61], ['shaded and unshaded coffee.•SOC stocks', 62, 67], ['a level', 71, 73], ['site environment', 75, 77], ['establishment', 78, 79]]"
190,S1387700313001822-661.txt,"To deliberate the chirality of the supramolecular architecture, solid state circular dichroism spectra were measured in a KCl matrix for GMP ligand and the single-crystals of complex 1 (Fig. 3(b)).","[['ORG', 21, 22], ['ORG', 32, 33], ['CARDINAL', 34, 35]]","[['the chirality', 2, 4], ['the supramolecular architecture', 5, 8], ['solid state circular dichroism spectra', 9, 14], ['a KCl matrix', 17, 20], ['GMP ligand', 21, 23], ['the single-crystals', 24, 28], ['complex 1 (Fig', 29, 33]]"
191,S1387700313001822-661.txt,"In solid-state, mutarotation is more difficult and the negative band at the 260 nm nearby can be detected which indicates that the GMP ligand is mainly β-anomers.","[['CARDINAL', 88, 89], ['ORG', 98, 99]]","[['solid-state', 74, 77], ['mutarotation', 78, 79], ['the negative band', 83, 86], ['the GMP ligand', 97, 100], ['β-anomers', 102, 105]]"
192,S1387700313001822-661.txt,"In the spectrum of complex 1, the weak negative band at 215–225 nm indicates that the GMP exists as l-ribo [5], which is induced by the strong π–π and hydrogen bonding interaction.","[['CARDINAL', 111, 112], ['CARDINAL', 118, 119]]","[['the spectrum', 107, 109], ['the weak negative band', 113, 117], ['the GMP', 122, 124], ['the strong π', 137, 140], ['π', 141, 142], ['hydrogen bonding interaction', 143, 146]]"
193,S1387700313001822-661.txt,"For solid samples, CD spectroscopy is highly sensitive to even a very small distortion from planarity of the aromatic chromophore [12].","[['CARDINAL', 169, 170]]","[['solid samples', 148, 150], ['CD spectroscopy', 151, 153], ['even a very small distortion', 157, 162], ['planarity', 163, 164], ['the aromatic chromophore', 165, 168]]"
194,S1387700313001822-661.txt,"The strong negative CE centered at 297 nm (θ ≈ − 10 mdeg) is due to the excitation coupling of π → π* transitions of the aromatic chromophores, including the intra- and intermolecular coupling of the guanine chromophores [13], which is consistent with the single crystal structure.","[['ORG', 175, 176], ['CARDINAL', 178, 179], ['CARDINAL', 215, 216]]","[['The strong negative CE', 172, 176], ['297 nm', 178, 180], ['the excitation coupling', 190, 193], ['→ π* transitions', 195, 199], ['the aromatic chromophores', 200, 203], ['the intra- and intermolecular coupling', 205, 210], ['the guanine chromophores', 211, 214], ['the single crystal structure', 222, 226]]"
195,S2213671113001306-885.txt,"Claudin 19, ezrin, ZO1, and MCT1 are preferentially located on the apical side.","[['CARDINAL', 31, 32], ['PERSON', 35, 36]]","[['ezrin', 33, 34], ['ZO1', 35, 36], ['MCT1', 38, 39], ['the apical side', 43, 46]]"
196,S2213671113001306-885.txt,The scale bars represent 10 μm.,"[['CARDINAL', 57, 58]]","[['The scale bars', 53, 56], ['10 μm', 57, 59]]"
197,S0925443913003037-1397.txt,We observed an approximately 54% reduction in the level of mt-tRNAPhe when compared with normal controls (Fig. 3D).,"[['PERCENT', 68, 70], ['PERSON', 84, 85], ['ORG', 86, 87]]","[['We', 64, 65], ['an approximately 54% reduction', 66, 71], ['the level', 72, 74], ['mt-tRNAPhe', 75, 78], ['normal controls', 81, 83], ['(Fig. 3D', 83, 87]]"
198,S0167610513002729-1062.txt,"At x=0.64 H (about two-third of the way into the street, Fig.","[['CARDINAL', 4, 8], ['PERSON', 15, 16]]","[['x=0.64 H', 1, 3], ['(about two-third', 3, 8], ['the way', 9, 11], ['the street', 12, 14], ['Fig', 15, 16]]"
199,S0019103512004009-3976.txt,"As ηnet ranges from 0.1 to 1 (with the average solar flux), the velocity at the upper boundary increases from 2.6 km s−1 to 25 km s−1.","[['CARDINAL', 19, 20], ['QUANTITY', 38, 40], ['QUANTITY', 42, 44]]","[['ηnet', 16, 17], ['the average solar flux', 24, 28], ['the velocity', 30, 32], ['the upper boundary', 33, 36], ['2.6 km s−1', 38, 41], ['25 km s−1', 42, 45]]"
200,S0019103512004009-3976.txt,"However, the velocity does not increase linearly with stellar flux or without a bound – in the 100× case the velocity at the upper boundary is only 30 km s−1.","[['CARDINAL', 64, 65]]","[['the velocity', 48, 50], ['stellar flux', 55, 57], ['the 100× case', 63, 66], ['the velocity', 66, 68], ['the upper boundary', 69, 72], ['only 30 km s−1', 73, 77]]"
201,S0019103512004009-3976.txt,With ηnet = 0.1 the isothermal sonic point is located above the upper boundary whereas with ηnet = 1 it is located at 4Rp.,"[['CARDINAL', 106, 107], ['CARDINAL', 121, 122], ['CARDINAL', 126, 127]]","[['ηnet', 104, 105], ['the isothermal sonic point', 107, 111], ['the upper boundary', 114, 117], ['ηnet', 119, 120], ['it', 122, 123]]"
202,S0019103512004009-3976.txt,This behavior is related to the temperature gradient and it is discussed further in Section 3.1.3.,"[['EVENT', 142, 144]]","[['This behavior', 128, 130], ['the temperature gradient', 133, 136], ['it', 137, 138], ['Section', 142, 143]]"
203,S0022459611006116-1448.txt,SQUID magnetometry measurements revealed that both samples 1 and 2 exhibit weak temperature independent paramagnetic behaviour (typically χM∼5×10−4 emu mol−1) between 5 and 300 K.,"[['CARDINAL', 7, 8], ['CARDINAL', 9, 10]]","[['SQUID magnetometry measurements', 0, 3], ['both samples', 5, 7], ['weak temperature independent paramagnetic behaviour', 11, 16], ['typically χM∼5×10−4 emu mol−1', 17, 21], ['K.', 26, 27]]"
204,S0022459611006116-1448.txt,"[15,16].",[],[]
205,S0022459611006116-1448.txt,(A plot of χM vs. T for 1 and 2 is available as Supplementary information.),"[['ORG', 74, 75], ['CARDINAL', 78, 79], ['PERSON', 84, 85]]","[['A plot', 71, 73], ['χM', 74, 75], ['T', 76, 77], ['Supplementary information', 84, 86]]"
206,S0378383911001669-2260.txt,The magnitudes of the friction factors for the two beaches are very similar over the majority of the swash cycle.,"[['CARDINAL', 8, 9]]","[['The magnitudes', 0, 2], ['the friction factors', 3, 6], ['the two beaches', 7, 10], ['the majority', 14, 16], ['the swash cycle', 17, 20]]"
207,S0378383911001669-2260.txt,"(For reference, friction factors calculated assuming steady and uniform flow and evaluated from the measured depths and velocities, with equivalent roughness of 1.3 mm and 8.4 mm, are consistently higher for the rougher beach by approximately 50%.)","[['QUANTITY', 63, 65], ['QUANTITY', 66, 68], ['PERCENT', 77, 80]]","[['reference', 40, 41], ['friction factors', 42, 44], ['steady and uniform flow', 46, 50], ['the measured depths', 53, 56], ['velocities', 57, 58], ['equivalent roughness', 60, 62], ['1.3 mm', 63, 65], ['8.4 mm', 66, 68], ['the rougher beach', 73, 76], ['approximately 50%', 77, 80]]"
208,S0378383911001669-2260.txt,"At x = 0.072 m the boundary layer has developed to only a limited extent, so the friction factors for the two beaches are very close.","[['CARDINAL', 149, 150], ['CARDINAL', 168, 169]]","[['the boundary layer', 151, 154], ['only a limited extent', 157, 161], ['the friction factors', 163, 166], ['the two beaches', 167, 170]]"
209,S0378383911001669-2260.txt,"Further up the slope, beyond x = 2.377 m, the friction factors are higher for the coarser 8.4 mm beach.","[['CARDINAL', 182, 183], ['QUANTITY', 193, 195]]","[['the slope', 176, 178], ['2.377 m', 182, 184], ['the friction factors', 185, 188], ['the coarser 8.4 mm beach', 191, 196]]"
210,S0378383911001669-2260.txt,"Somewhat later, cf values for the 8.4 mm beach catch up on the values for the 1.3 mm beach and then become higher than the 1.3 mm beach values, but only for locations higher up the beach.","[['QUANTITY', 280, 282], ['QUANTITY', 299, 301]]","[['Somewhat later, cf values', 273, 278], ['the 8.4 mm beach catch', 279, 284], ['the values', 286, 288], ['the 1.3 mm beach', 289, 293], ['the 1.3 mm beach values', 298, 303], ['locations', 307, 308], ['the beach', 310, 312]]"
211,S0378383911001669-2260.txt,At the two lowest locations on the beach cf values are surprisingly similar during the backwash.,"[['CARDINAL', 315, 316]]","[['the two lowest locations', 314, 318], ['the beach cf values', 319, 323], ['the backwash', 327, 329]]"
212,S0032063312003054-2501.txt,"Out of the total 689 events of electron precipitation signatures, 85 were observed with a concurrent acceleration of heavy-ions.","[['CARDINAL', 4, 5], ['CARDINAL', 11, 12]]","[['the total 689 events', 2, 6], ['electron precipitation signatures', 7, 10], ['a concurrent acceleration', 15, 18], ['heavy-ions', 19, 22]]"
213,S0032063312003054-2501.txt,This accounts for 12% of precipitation signatures occurring on ∼5% of MEX orbits.,"[['PERCENT', 26, 28], ['ORG', 36, 37]]","[['12%', 26, 28], ['precipitation signatures', 29, 31], ['∼5%', 33, 35], ['MEX orbits', 36, 38]]"
214,S0032063312003054-2501.txt,Only 37 events of electron precipitation signatures were observed with a peripheral acceleration of heavy-ions.,"[['CARDINAL', 39, 41]]","[['Only 37 events', 39, 42], ['electron precipitation signatures', 43, 46], ['a peripheral acceleration', 49, 52], ['heavy-ions', 53, 56]]"
215,S0032063312003054-2501.txt,This makes the peripheral acceleration of heavy-ions less common occurring on just 5% of precipitation signatures and on ∼2% of MEX orbits.,"[['PERCENT', 70, 73], ['PERCENT', 78, 80], ['ORG', 81, 82]]","[['the peripheral acceleration', 59, 62], ['heavy-ions', 63, 66], ['just 5%', 70, 73], ['precipitation signatures', 74, 76], ['∼2%', 78, 80], ['MEX orbits', 81, 83]]"
216,S0032386113005454-2308.txt,A tensile modulus of 3.19 ± 0.10 GPa was measured for the unmodified epoxy polymer.,"[['CARDINAL', 4, 5]]","[['3.19 ±', 4, 6], ['the unmodified epoxy polymer', 11, 15]]"
217,S0032386113005454-2308.txt,"The modulus decreased approximately linearly with increasing CSR content to 1.96 ± 0.08 GPa when 20 wt% of S-CSR particles were added, see Table 1.","[['ORG', 23, 24], ['CARDINAL', 26, 27], ['CARDINAL', 31, 32], ['LAW', 42, 44]]","[['The modulus', 16, 18], ['increasing CSR content', 22, 25], ['1.96 ±', 26, 28], ['0.08 GPa', 28, 30], ['20 wt%', 31, 33], ['S-CSR particles', 34, 38], ['Table', 42, 43]]"
218,S0032386113005454-2308.txt,[30] using the same formulation of epoxy polymer but with different CSR particles.,"[['CARDINAL', 55, 56], ['ORG', 67, 68]]","[['the same formulation', 58, 61], ['epoxy polymer', 62, 64], ['different CSR particles', 66, 69]]"
219,S0378383913001567-2462.txt,Power spectra of surface elevation for a JONSWAP spectrum with fp = 0.5 Hz and Hp = 1.8 cm: comparison of the numerical results (solid line) with experimental data (dashed line).,"[['ORG', 7, 8], ['CARDINAL', 12, 13], ['QUANTITY', 17, 19]]","[['Power spectra', 0, 2], ['surface elevation', 3, 5], ['a JONSWAP spectrum', 6, 9], ['= 0.5 Hz', 11, 14], ['Hp', 15, 16], ['1.8 cm', 17, 19], ['comparison', 20, 21], ['the numerical results', 22, 25], ['solid line', 26, 28], ['experimental data', 30, 32], ['line', 34, 35]]"
220,S0165587612003680-998.txt,"Differences between adults and children were explored on a per-patient (rather than per-ear) basis; where data existed for two ears, the per-patient analysis was carried out using the criteria of at least one ear being culture/confocal positive and at least one ear containing biofilms.","[['CARDINAL', 25, 26], ['CARDINAL', 40, 43], ['CARDINAL', 50, 53]]","[['Differences', 0, 1], ['adults', 2, 3], ['children', 4, 5], ['patient', 11, 12], ['ear', 17, 18], ['data', 22, 23], ['two ears', 25, 27], ['the per-patient analysis', 28, 33], ['the criteria', 37, 39], ['at least one ear', 40, 44], ['at least one ear', 50, 54], ['biofilms', 55, 56]]"
221,S0165587612003680-998.txt,"Children appeared to have a greater number of culture-positive, confocal-positive, and biofilm results than adults (54.3% vs. 14.3%, 82.9% vs. 57.1%, and 67.9% vs. 0%, respectively).","[['PERCENT', 79, 81], ['PERCENT', 82, 84], ['PERCENT', 85, 87], ['PERCENT', 88, 90], ['PERCENT', 92, 94], ['PERCENT', 95, 97]]","[['Children', 57, 58], ['a greater number', 61, 64], ['biofilm results', 74, 76], ['adults', 77, 78], ['54.3%', 79, 81], ['14.3%', 82, 84], ['82.9%', 85, 87], ['57.1%', 88, 90], ['67.9%', 92, 94], ['0%', 95, 97]]"
222,S0165587612003680-998.txt,"However, only the presence of biofilms reached statistical significance (Fisher's exact test p = 0.02).","[['ORG', 112, 113], ['CARDINAL', 118, 119]]","[['only the presence', 103, 106], ['biofilms', 107, 108], ['statistical significance', 109, 111]]"
223,S027737911400050X-2401.txt,"For late Quaternary records, most tephra horizons in sediment cores are dated by (linear) interpolation of 14C dates of carbonates, bulk sediment or organic remains.","[['PERSON', 2, 3]]","[['late Quaternary records', 1, 4], ['most tephra horizons', 5, 8], ['sediment cores', 9, 11], ['(linear) interpolation', 14, 18], ['14C dates', 19, 21], ['carbonates', 22, 23], ['bulk sediment', 24, 26], ['organic remains', 27, 29]]"
224,S027737911400050X-2401.txt,"Both phenomena can result in anomalous 14C ages and an offset from the real age of the dated material, which is not necessarily constant through time in the sediment section (Geyh et al., 1998;","[['DATE', 103, 104]]","[['Both phenomena', 66, 68], ['anomalous 14C ages', 71, 74], ['an offset', 75, 77], ['the real age', 78, 81], ['the dated material', 82, 85], ['time', 92, 93], ['the sediment section', 94, 97], ['Geyh et al', 98, 101]]"
225,S027737911400050X-2401.txt,"Yu et al., 2007).","[['DATE', 110, 111]]","[['Yu et al', 105, 108]]"
226,S027737911400050X-2401.txt,"This offset from the real age can be of the order of several hundred or even more than a thousand years if bulk sediment or carbonates are dated, and can thus lead to misleading or erroneous age models if it is not taken into account (Geyh et al., 1998; Bertrand et al., 2012).","[['CARDINAL', 125, 127], ['DATE', 129, 134], ['DATE', 165, 166], ['GPE', 167, 168], ['DATE', 172, 173]]","[['the real age', 116, 119], ['the order', 122, 124], ['than a thousand years', 130, 134], ['bulk sediment', 135, 137], ['carbonates', 138, 139], ['misleading or erroneous age models', 147, 152], ['it', 153, 154], ['account', 158, 159], ['Bertrand et al', 167, 170]]"
227,S027737911400050X-2401.txt,"Appropriate tephra characterisation can potentially also help in evaluating the reservoir effect in a sediment section by providing a tie-point in the age model, provided the age of the tephra is well known from one or more independent sources (e.g., 14C dating on charcoal incorporated in terrestrial deposits, for example the well-constrained 3.00–3.05 ka cal BP Alpehué Pumice (So-A) eruption from Sollipulli; Supplementary Table 1; Naranjo et al., 1993b).","[['CARDINAL', 238, 239], ['CARDINAL', 261, 262], ['WORK_OF_ART', 276, 279]]","[['Appropriate tephra characterisation', 201, 204], ['the reservoir effect', 210, 213], ['a sediment section', 214, 217], ['a tie-point', 219, 223], ['the age model', 224, 227], ['the age', 229, 231], ['the tephra', 232, 234], ['one or more independent sources', 238, 243], ['charcoal', 249, 250], ['terrestrial deposits', 252, 254], ['example', 256, 257], ['So-A) eruption', 268, 273], ['Sollipulli', 274, 275], ['Supplementary Table', 276, 278], ['Naranjo', 280, 281], ['et al', 281, 283]]"
228,S2213671113000908-810.txt,"Our group has developed a defined culture system to direct the differentiation of hPSCs into a near-homogenous population of definitive endoderm (DE) cells that have the capacity to differentiate into hepatocytes and pancreatic progenitors (Brown et al., 2011; Cho et al., 2012; Rashid et al., 2010; Touboul et al., 2010; Vallier et al., 2009a; Yusa et al., 2011).","[['ORG', 24, 25], ['PERSON', 39, 40], ['DATE', 44, 45], ['PERSON', 46, 47], ['DATE', 51, 52], ['DATE', 58, 59], ['GPE', 60, 61], ['DATE', 65, 66], ['PERSON', 67, 68], ['DATE', 72, 73], ['PERSON', 74, 75], ['DATE', 79, 80]]","[['Our group', 0, 2], ['a defined culture system', 4, 8], ['the differentiation', 10, 12], ['hPSCs', 13, 14], ['a near-homogenous population', 15, 20], ['definitive endoderm', 21, 23], ['(DE) cells', 23, 27], ['the capacity', 29, 31], ['hepatocytes', 34, 35], ['pancreatic progenitors', 36, 38], ['Brown et al', 39, 42], ['Cho et al', 46, 49], ['Rashid et al', 53, 56], ['Touboul et al', 60, 63], ['Vallier et al', 67, 70], ['Yusa et al', 74, 77]]"
229,S2213671113000908-810.txt,Flow cytometry analyses showed that 80% of the resulting DE population coexpresses CXCR4 and SOX17 (Figure S1D).,"[['PERCENT', 142, 144], ['ORG', 147, 148], ['ORG', 150, 151]]","[['Flow cytometry analyses', 137, 140], ['80%', 142, 144], ['the resulting DE population', 145, 149], ['CXCR4', 150, 151], ['SOX17', 152, 153], ['S1D', 155, 156]]"
230,S175058361300203X-1556.txt,"8) of both the 34 °C and 38 °C options look very similar and also show some similarity to the real data, also shown in Fig.","[['CARDINAL', 8, 9], ['DATE', 16, 17], ['PERSON', 36, 37]]","[['both the 34 °C', 10, 15], ['38 °C options', 16, 20], ['some similarity', 26, 28], ['the real data', 29, 32], ['Fig', 36, 37]]"
231,S175058361300203X-1556.txt,8.,"[['CARDINAL', 38, 39]]",[]
232,S175058361300203X-1556.txt,(2012).,"[['DATE', 82, 83]]",[]
